,Health,APCA+ RA,APCA- RA,Cluster,gene
YWHAQ,1.15,-0.48,-0.67,cluster1,YWHAQ
KRT18,1.15,-0.48,-0.67,cluster1,KRT18
H1F0,1.15,-0.48,-0.67,cluster1,H1F0
EEF1A1P5,1.15,-0.49,-0.66,cluster1,EEF1A1P5
IGHV4-28,1.15,-0.5,-0.65,cluster1,IGHV4.28
NONO,1.15,-0.5,-0.65,cluster1,NONO
CSRP3,1.14,-0.43,-0.72,cluster1,CSRP3
DHRS4,1.14,-0.42,-0.72,cluster1,DHRS4
HSPA5,1.14,-0.42,-0.72,cluster1,HSPA5
HSPE1,1.14,-0.42,-0.72,cluster1,HSPE1
MDH2,1.14,-0.43,-0.71,cluster1,MDH2
TPI1,1.14,-0.43,-0.71,cluster1,TPI1
S100A9,1.14,-0.44,-0.7,cluster1,S100A9
EIF5A2,1.14,-0.44,-0.71,cluster1,EIF5A2
PSMB2,1.14,-0.44,-0.71,cluster1,PSMB2
VTN,1.14,-0.44,-0.71,cluster1,VTN
SERPINB1,1.14,-0.44,-0.71,cluster1,SERPINB1
ADH1A,1.15,-0.46,-0.69,cluster1,ADH1A
ASPN,1.15,-0.46,-0.69,cluster1,ASPN
CTNNA1,1.15,-0.46,-0.68,cluster1,CTNNA1
ERH,1.15,-0.46,-0.68,cluster1,ERH
ITIH4,1.15,-0.44,-0.7,cluster1,ITIH4
CAPN2,1.15,-0.45,-0.69,cluster1,CAPN2
WDR11,1.15,-0.45,-0.7,cluster1,WDR11
C1QC,1.15,-0.45,-0.7,cluster1,C1QC
RAN,1.15,-0.45,-0.7,cluster1,RAN
LRRC59,1.1,-0.25,-0.85,cluster1,LRRC59
SYNCRIP,1.1,-0.25,-0.85,cluster1,SYNCRIP
C6,1.1,-0.25,-0.85,cluster1,C6
TAGLN,1.1,-0.24,-0.86,cluster1,TAGLN
PADI4,1.1,-0.24,-0.86,cluster1,PADI4
S100A6,1.09,-0.23,-0.87,cluster1,S100A6
HNRNPU,1.09,-0.23,-0.87,cluster1,HNRNPU
PSMA4,1.09,-0.21,-0.88,cluster1,PSMA4
NPC2,1.09,-0.21,-0.88,cluster1,NPC2
IQGAP2,1.11,-0.28,-0.83,cluster1,IQGAP2
UGDH,1.13,-0.34,-0.78,cluster1,UGDH
ALDH1B1,1.13,-0.35,-0.78,cluster1,ALDH1B1
SRP9,1.13,-0.35,-0.78,cluster1,SRP9
HNRNPA0,1.12,-0.33,-0.79,cluster1,HNRNPA0
SERPING1,1.12,-0.33,-0.79,cluster1,SERPING1
PEBP1,1.12,-0.33,-0.79,cluster1,PEBP1
APOL1,1.13,-0.34,-0.79,cluster1,APOL1
AKR7L,1.13,-0.34,-0.79,cluster1,AKR7L
HSPD1,1.12,-0.34,-0.79,cluster1,HSPD1
PRDX2,1.12,-0.34,-0.79,cluster1,PRDX2
AOC3,1.12,-0.32,-0.8,cluster1,AOC3
SEC61A1,1.11,-0.3,-0.82,cluster1,SEC61A1
MDH1,1.12,-0.3,-0.81,cluster1,MDH1
PSMD3,1.12,-0.31,-0.81,cluster1,PSMD3
C5,1.12,-0.31,-0.81,cluster1,C5
PCK2,0.99,0.01,-1.01,cluster1,PCK2
RPSA,1.01,-0.01,-0.99,cluster1,RPSA
PRDX1,1,-0.01,-1,cluster1,PRDX1
GLYAT,1,0,-1,cluster1,GLYAT
SLC25A5,1.02,-0.03,-0.98,cluster1,SLC25A5
ADH4,1.03,-0.06,-0.97,cluster1,ADH4
CRYZ,1.03,-0.06,-0.97,cluster1,CRYZ
C4A,1.04,-0.09,-0.95,cluster1,C4A
SF3B1,1.05,-0.11,-0.94,cluster1,SF3B1
RPL35A,1.05,-0.11,-0.94,cluster1,RPL35A
KNG1,1.05,-0.1,-0.95,cluster1,KNG1
KRAS,1.05,-0.1,-0.95,cluster1,KRAS
SERPINA4,1.06,-0.14,-0.92,cluster1,SERPINA4
ECM1,1.07,-0.16,-0.91,cluster1,ECM1
APOA1BP,1.07,-0.17,-0.9,cluster1,APOA1BP
P0DOX2,1.08,-0.2,-0.89,cluster1,P0DOX2
PDIA6,1.08,-0.19,-0.89,cluster1,PDIA6
IGHV1-18,1.08,-0.19,-0.89,cluster1,IGHV1.18
FASN,1.08,-0.19,-0.89,cluster1,FASN
AHSG,1.08,-0.18,-0.9,cluster1,AHSG
RPN2,1.08,-0.18,-0.89,cluster1,RPN2
C4B,1.11,-0.83,-0.28,cluster1,C4B
ACSL1,1.11,-0.84,-0.27,cluster1,ACSL1
FABP5,1.11,-0.84,-0.27,cluster1,FABP5
PDLIM1,1.12,-0.81,-0.31,cluster1,PDLIM1
WDR1,1.12,-0.81,-0.3,cluster1,WDR1
TAGLN2,1.11,-0.82,-0.29,cluster1,TAGLN2
NDUFA9,1.11,-0.82,-0.3,cluster1,NDUFA9
GRHPR,1.11,-0.82,-0.3,cluster1,GRHPR
AKR1B1,1.1,-0.86,-0.23,cluster1,AKR1B1
RBMXL1,1.09,-0.87,-0.22,cluster1,RBMXL1
CS,1.08,-0.89,-0.19,cluster1,CS
DDAH1,1.07,-0.91,-0.16,cluster1,DDAH1
VCAN,1.14,-0.75,-0.39,cluster1,VCAN
NDST1,1.13,-0.76,-0.37,cluster1,NDST1
CD5L,1.13,-0.76,-0.38,cluster1,CD5L
FLNA,1.13,-0.75,-0.38,cluster1,FLNA
SORD,1.15,-0.65,-0.5,cluster1,SORD
REEP5,1.15,-0.65,-0.5,cluster1,REEP5
CCT6A,1.15,-0.65,-0.5,cluster1,CCT6A
PDHB,1.15,-0.65,-0.5,cluster1,PDHB
HK1,1.15,-0.65,-0.5,cluster1,HK1
GPD1,1.15,-0.66,-0.49,cluster1,GPD1
COL6A2,1.15,-0.66,-0.49,cluster1,COL6A2
PHGDH,1.15,-0.66,-0.49,cluster1,PHGDH
IGHG2,1.15,-0.66,-0.49,cluster1,IGHG2
PADI2,1.15,-0.67,-0.48,cluster1,PADI2
ANXA6,1.15,-0.67,-0.48,cluster1,ANXA6
PC,1.15,-0.67,-0.48,cluster1,PC
ARG1,1.14,-0.72,-0.42,cluster1,ARG1
RPS18,1.14,-0.71,-0.43,cluster1,RPS18
MUC2,1.14,-0.71,-0.44,cluster1,MUC2
IGHV3-9,1.15,-0.7,-0.44,cluster1,IGHV3.9
UQCR10,1.15,-0.7,-0.45,cluster1,UQCR10
DLAT,1.15,-0.69,-0.46,cluster1,DLAT
ANXA3,1.15,-0.68,-0.47,cluster1,ANXA3
CA1,1.15,-0.68,-0.47,cluster1,CA1
ERLIN2,1.15,-0.68,-0.47,cluster1,ERLIN2
F2,1.15,-0.68,-0.47,cluster1,F2
APOA4,0.91,0.16,-1.07,cluster1,APOA4
LPCAT3,0.92,0.14,-1.06,cluster1,LPCAT3
C4BPA,0.88,0.21,-1.09,cluster1,C4BPA
CFB,0.85,0.25,-1.1,cluster1,CFB
ACADSB,0.86,0.23,-1.1,cluster1,ACADSB
HNRNPA2B1,0.73,0.41,-1.14,cluster1,HNRNPA2B1
C8A,0.74,0.4,-1.14,cluster1,C8A
ERP29,0.74,0.4,-1.14,cluster1,ERP29
TNC,0.83,0.28,-1.11,cluster1,TNC
C1S,0.79,0.34,-1.12,cluster1,C1S
GDI2,0.8,0.32,-1.12,cluster1,GDI2
PGM5,0.61,0.54,-1.15,cluster1,PGM5
SYNGR2,0.66,0.49,-1.15,cluster1,SYNGR2
CCT7,0.68,0.47,-1.15,cluster1,CCT7
DAD1,0.45,0.7,-1.15,cluster2,DAD1
SUCLG2,0.54,0.61,-1.15,cluster2,SUCLG2
IDH2,0.33,0.8,-1.12,cluster2,IDH2
ACSM2A,0.12,0.93,-1.06,cluster2,ACSM2A
IGLV3-19,-0.43,1.14,-0.71,cluster2,IGLV3.19
NME2,-0.43,1.14,-0.71,cluster2,NME2
MFAP4,-0.67,1.15,-0.48,cluster2,MFAP4
GLO1,-0.62,1.15,-0.53,cluster2,GLO1
AKR1A1,-0.63,1.15,-0.52,cluster2,AKR1A1
HP1BP3,-0.64,1.15,-0.52,cluster2,HP1BP3
TARDBP,-0.58,1.15,-0.58,cluster2,TARDBP
PAICS,-0.59,1.15,-0.56,cluster2,PAICS
RPL26L1,-0.59,1.15,-0.56,cluster2,RPL26L1
PPP2R1A,-0.51,1.15,-0.64,cluster2,PPP2R1A
GGT5,-0.53,1.15,-0.63,cluster2,GGT5
SRSF7,-0.53,1.15,-0.62,cluster2,SRSF7
CLIC1,-0.83,1.11,-0.28,cluster2,CLIC1
FMO5,-0.85,1.1,-0.26,cluster2,FMO5
TGFBI,-0.85,1.1,-0.25,cluster2,TGFBI
LDHA,-0.77,1.13,-0.36,cluster2,LDHA
ORM1,-0.8,1.12,-0.32,cluster2,ORM1
APCS,-0.79,1.12,-0.34,cluster2,APCS
COX5A,-0.79,1.12,-0.34,cluster2,COX5A
CD55,-0.97,1.03,-0.06,cluster2,CD55
PRDX4,-0.97,1.03,-0.06,cluster2,PRDX4
STOM,-0.99,1.01,-0.03,cluster2,STOM
ITGA3,-0.99,1.01,-0.02,cluster2,ITGA3
RPL24,-0.99,1.01,-0.02,cluster2,RPL24
NDUFS2,-0.91,1.07,-0.16,cluster2,NDUFS2
ITIH1,-0.9,1.07,-0.17,cluster2,ITIH1
RPL27A,-0.95,1.04,-0.1,cluster2,RPL27A
TTR,-0.93,1.06,-0.13,cluster2,TTR
VIL1,-0.93,1.06,-0.13,cluster2,VIL1
UGT2B4,-0.94,1.05,-0.12,cluster2,UGT2B4
IMMT,-0.94,1.05,-0.11,cluster2,IMMT
HABP2,-0.94,1.05,-0.11,cluster2,HABP2
HP,-0.94,1.05,-0.11,cluster2,HP
PSAP,-0.94,1.05,-0.11,cluster2,PSAP
C8B,-1.05,0.94,0.1,cluster2,C8B
COX4I1,-1.03,0.96,0.07,cluster2,COX4I1
FHL1,-1.03,0.97,0.06,cluster2,FHL1
PA2G4,-1.08,0.89,0.19,cluster2,PA2G4
GSTK1,-1.08,0.89,0.2,cluster2,GSTK1
HSD11B2,-1.09,0.88,0.21,cluster2,HSD11B2
CORO1C,-1.09,0.88,0.21,cluster2,CORO1C
HNRNPA1L2,-1.09,0.87,0.22,cluster2,HNRNPA1L2
UGT1A8,-1.09,0.87,0.23,cluster2,UGT1A8
HSPA1B,-1.07,0.91,0.16,cluster2,HSPA1B
HADHA,-1.07,0.91,0.17,cluster2,HADHA
PDIA4,-1.06,0.93,0.13,cluster2,PDIA4
FIS1,-1.06,0.92,0.14,cluster2,FIS1
MSN,-1.13,0.77,0.36,cluster2,MSN
IGKV3D-20,-1.12,0.79,0.33,cluster2,IGKV3D.20
DPYSL2,-1.13,0.79,0.34,cluster2,DPYSL2
DYNLL2,-1.11,0.83,0.29,cluster2,DYNLL2
IGHV4-61,-1.11,0.82,0.29,cluster2,IGHV4.61
PARVA,-1.11,0.82,0.29,cluster2,PARVA
CAPN1,-1.11,0.84,0.27,cluster2,CAPN1
ATP5F1,-1.1,0.84,0.26,cluster2,ATP5F1
COX7A2,-1.1,0.86,0.24,cluster2,COX7A2
HNRNPK,-1.1,0.86,0.24,cluster2,HNRNPK
ATP6V1A,-1.1,0.85,0.25,cluster2,ATP6V1A
PLP2,-1.1,0.85,0.25,cluster2,PLP2
UBA52,-1.15,0.7,0.45,cluster2,UBA52
SLC4A1,-1.15,0.7,0.45,cluster2,SLC4A1
SAA2,-1.15,0.7,0.45,cluster2,SAA2
ADH1B,-1.15,0.68,0.46,cluster2,ADH1B
HPX,-1.15,0.69,0.46,cluster2,HPX
CALD1,-1.15,0.69,0.46,cluster2,CALD1
SERPINF2,-1.14,0.71,0.43,cluster2,SERPINF2
VAT1,-1.14,0.72,0.42,cluster2,VAT1
PGM2,-1.14,0.75,0.39,cluster2,PGM2
SERPINA1,-1.14,0.74,0.4,cluster2,SERPINA1
COPB1,-1.14,0.74,0.4,cluster2,COPB1
PSMB6,-1.14,0.73,0.41,cluster2,PSMB6
HSD17B13,-1.14,0.73,0.41,cluster2,HSD17B13
SRI,-1.15,0.6,0.56,cluster2,SRI
EIF3B,-1.15,0.61,0.54,cluster2,EIF3B
S100A12,-1.15,0.64,0.51,cluster2,S100A12
LDHB,-1.15,0.63,0.52,cluster2,LDHB
GSTO1,-1.15,0.63,0.53,cluster2,GSTO1
CPS1,-1.15,0.67,0.48,cluster2,CPS1
ACADVL,-1.15,0.66,0.5,cluster2,ACADVL
ARHGAP1,-1.15,0.56,0.59,cluster3,ARHGAP1
HPD,-1.15,0.56,0.6,cluster3,HPD
ALDH1L1,-1.15,0.55,0.6,cluster3,ALDH1L1
SAMHD1,-1.15,0.55,0.6,cluster3,SAMHD1
GNPDA1,-1.15,0.52,0.63,cluster3,GNPDA1
COQ9,-1.15,0.52,0.63,cluster3,COQ9
EPHX1,-1.15,0.52,0.63,cluster3,EPHX1
VDAC1,-1.15,0.52,0.64,cluster3,VDAC1
UQCRC2,-1.15,0.52,0.64,cluster3,UQCRC2
GNB2L1,-1.15,0.48,0.67,cluster3,GNB2L1
CAPZB,-1.15,0.49,0.66,cluster3,CAPZB
UBE2N,-1.15,0.49,0.66,cluster3,UBE2N
ARF4,-1.15,0.45,0.7,cluster3,ARF4
FH,-1.15,0.44,0.7,cluster3,FH
RTN4,-1.15,0.44,0.7,cluster3,RTN4
CPN1,-1.14,0.41,0.73,cluster3,CPN1
CYCS,-1.14,0.4,0.74,cluster3,CYCS
GALM,-1.14,0.4,0.74,cluster3,GALM
SCP2,-1.12,0.31,0.81,cluster3,SCP2
CTH,-1.13,0.36,0.77,cluster3,CTH
PDZK1,-1.13,0.35,0.78,cluster3,PDZK1
HYOU1,-1.13,0.35,0.78,cluster3,HYOU1
NCL,-1.1,0.25,0.85,cluster3,NCL
RPS2,-1.1,0.24,0.86,cluster3,RPS2
RPS4Y2,-1.1,0.24,0.86,cluster3,RPS4Y2
IGHV3-74,-1.05,0.11,0.94,cluster3,IGHV3.74
YWHAB,-1.06,0.13,0.93,cluster3,YWHAB
ACOT13,-1.06,0.13,0.93,cluster3,ACOT13
RBP4,-1.01,0.03,0.98,cluster3,RBP4
ATP5A1,-0.97,-0.06,1.03,cluster3,ATP5A1
ARF1,-0.97,-0.06,1.03,cluster3,ARF1
PGK1,-0.93,-0.12,1.05,cluster3,PGK1
LONP1,-0.9,-0.17,1.07,cluster3,LONP1
SNRPD3,-0.81,-0.31,1.12,cluster3,SNRPD3
NDUFS1,-0.76,-0.37,1.13,cluster3,NDUFS1
TPM1,-0.62,-0.53,1.15,cluster3,TPM1
