"","Disease remission","Low disease activity","Moderate disease activity","High disease activity","Cluster","gene"
"CBR1",0.33,1.22,-1.09,-0.47,"cluster5","CBR1"
"HSPE1",0.34,1.23,-1.07,-0.49,"cluster5","HSPE1"
"PSMA5",-0.04,1.34,-1.08,-0.22,"cluster5","PSMA5"
"CORO1C",0.07,1.32,-1.08,-0.3,"cluster5","CORO1C"
"SERPINC1",0.82,0.87,-1.09,-0.61,"cluster5","SERPINC1"
"SYNCRIP",0.84,0.89,-0.89,-0.84,"cluster5","SYNCRIP"
"ABHD14B",0.89,0.83,-0.99,-0.73,"cluster5","ABHD14B"
"XRCC5",1.02,0.69,-0.82,-0.89,"cluster5","XRCC5"
"PTMA",1.14,0.52,-0.97,-0.69,"cluster5","PTMA"
"PEPD",1.05,0.66,-0.91,-0.8,"cluster5","PEPD"
"RPL23A",1.08,0.61,-0.95,-0.75,"cluster5","RPL23A"
"AHSG",0.64,0.71,-1.44,0.1,"cluster5","AHSG"
"GNB1",0.77,0.81,-1.3,-0.28,"cluster5","GNB1"
"COPB2",1.22,0.28,-1.14,-0.36,"cluster5","COPB2"
"APOC2",0.96,0.38,-1.39,0.05,"cluster5","APOC2"
"NPC2",1.04,0.3,-1.35,0.01,"cluster5","NPC2"
"RPLP0",1.43,-0.06,-0.76,-0.61,"cluster5","RPLP0"
"APOC3",1.29,0.29,-0.86,-0.72,"cluster5","APOC3"
"ACSM2B",1.32,0.21,-0.86,-0.67,"cluster5","ACSM2B"
"SF3B1",1.3,0.24,-0.61,-0.93,"cluster5","SF3B1"
"KDELR2",1.35,0.11,-0.53,-0.94,"cluster5","KDELR2"
"CAPG",1.39,-0.06,-0.38,-0.96,"cluster5","CAPG"
"MDH2",1.38,-0.09,-0.29,-1,"cluster5","MDH2"
"PLG",1.29,0.06,-0.21,-1.14,"cluster5","PLG"
"SUCLG2",1.27,0.15,-0.28,-1.14,"cluster5","SUCLG2"
"ALDH1B1",1.01,0.64,-0.5,-1.15,"cluster5","ALDH1B1"
"RPL18",1.11,0.47,-0.41,-1.17,"cluster5","RPL18"
"NUCKS1",1.09,0.5,-0.41,-1.18,"cluster5","NUCKS1"
"SLC25A5",1.03,0.46,-0.2,-1.29,"cluster5","SLC25A5"
"GPI",1.13,0.29,-0.14,-1.27,"cluster5","GPI"
"FBP1",1.15,0.32,-0.25,-1.23,"cluster5","FBP1"
"TF",0.89,0.55,-0.05,-1.38,"cluster5","TF"
"ALDH1A1",0.91,0.58,-0.15,-1.34,"cluster5","ALDH1A1"
"A2M",0.85,0.62,-0.11,-1.37,"cluster5","A2M"
"BGN",0.96,0.61,-0.28,-1.28,"cluster5","BGN"
"PTBP1",0.85,0.74,-0.32,-1.27,"cluster5","PTBP1"
"TARDBP",0.45,1.15,-0.5,-1.11,"cluster5","TARDBP"
"RBP4",0.86,0.85,-0.68,-1.04,"cluster5","RBP4"
"TTR",0.8,0.85,-0.46,-1.19,"cluster5","TTR"
"UQCR10",0.75,0.91,-0.49,-1.17,"cluster5","UQCR10"
"GLO1",0.6,1.02,-0.42,-1.19,"cluster5","GLO1"
"AFM",0.58,0.96,-0.24,-1.3,"cluster5","AFM"
"RPL26L1",0.69,0.91,-0.34,-1.26,"cluster5","RPL26L1"
"GSTA2",0.42,1.06,-0.19,-1.29,"cluster5","GSTA2"
"SERPINA4",0.45,1,-0.11,-1.34,"cluster5","SERPINA4"
"NDST1",0.44,0.95,-0.02,-1.38,"cluster5","NDST1"
"COMT",0.23,1.18,-0.17,-1.24,"cluster5","COMT"
"IGLL5",0.32,1.07,-0.07,-1.32,"cluster5","IGLL5"
"RPL35A",0.25,1.09,-0.02,-1.32,"cluster5","RPL35A"
"ARHGDIA",0.57,0.77,0.1,-1.44,"cluster5","ARHGDIA"
"TSPAN8",0.64,0.82,-0.08,-1.38,"cluster5","TSPAN8"
"HMGCS2",0.74,0.78,-0.19,-1.34,"cluster5","HMGCS2"
"IGHV6.1",0.56,-0.22,0.97,-1.3,"cluster4","IGHV6.1"
"RPSA",0.18,-0.15,1.2,-1.23,"cluster4","RPSA"
"ALDH3A2",0.38,-0.06,1.02,-1.34,"cluster4","ALDH3A2"
"SUCLA2",0.21,0.12,1.04,-1.36,"cluster4","SUCLA2"
"IGHV3.23",0.65,0.23,0.59,-1.47,"cluster4","IGHV3.23"
"ITIH2",0.67,0.24,0.56,-1.47,"cluster4","ITIH2"
"F2",0.62,0.42,0.45,-1.49,"cluster4","F2"
"IGHV3.21",0.77,0.34,0.36,-1.47,"cluster4","IGHV3.21"
"IGFALS",0.94,0.14,0.32,-1.41,"cluster4","IGFALS"
"CLCA1",0.92,0.26,0.25,-1.43,"cluster4","CLCA1"
"HSPD1",0.89,0.24,0.3,-1.43,"cluster4","HSPD1"
"NCL",1.05,0.22,0.09,-1.36,"cluster4","NCL"
"CYB5R3",1.07,0.08,0.19,-1.34,"cluster4","CYB5R3"
"CSRP3",1.09,0.08,0.16,-1.33,"cluster4","CSRP3"
"COL6A1",1.22,0.01,0.01,-1.23,"cluster4","COL6A1"
"HSP90AB1",1.17,-0.14,0.22,-1.25,"cluster4","HSP90AB1"
"MME",1.28,-0.31,0.14,-1.12,"cluster4","MME"
"RPL13A",1.3,-1.05,0.16,-0.42,"cluster4","RPL13A"
"WARS",1.38,-0.62,0.07,-0.83,"cluster4","WARS"
"RAB2A",1.43,-0.61,-0.05,-0.77,"cluster4","RAB2A"
"AKR7L",1.49,-0.59,-0.37,-0.53,"cluster4","AKR7L"
"TAGLN",1.48,-0.37,-0.41,-0.7,"cluster4","TAGLN"
"UGP2",1.47,-0.24,-0.51,-0.72,"cluster4","UGP2"
"HMGB1",0.64,-1.27,0.94,-0.32,"cluster4","HMGB1"
"GANAB",1.05,-0.91,0.66,-0.8,"cluster4","GANAB"
"X7.Sep",0.88,-0.59,0.81,-1.11,"cluster4","X7.Sep"
