Category,Term,Count,%,PValue,LOG10,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,GROUP,GROUP2,,,,,,Innate Immune System,,,,,,,,
GOTERM_BP_DIRECT,fatty acid biosynthetic process,3,6.382978723,0.00672243,-2.17247371,"PCCB, ACSM2A, HSD17B12",47,52,19462,23.88952537,0.985337319,1,1,5.1,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,Metabolism of amino acids and derivatives,7,14,0.004026659,-2.395055108,"RPL23, RPL13A, PCBD1, HOGA1, RPL15, RPL10A, RPS11",46,376,11009,4.455538853,0.735913902,0.0511076,0.047235812,2.9,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,Neutrophil degranulation,9,15.25423729,0.002466562,-2.607908044,"RAB10, VAT1, SERPINB1, CYB5R3, ARG1, CAT, A1BG, PPIA, ORM2",56,480,11009,3.686049107,0.645566868,0.03046929,0.027930182,4,DOWN,,,,,,,,,,,,,,
GOTERM_BP_DIRECT,translation,5,10,0.002335978,-2.631531255,"RPL23, RPL13A, RPL15, RPL10A, RPS11",50,222,19462,8.766666667,0.643482299,0.257541572,0.256957578,2.9,DOWN,,,,,,,,,,,,,,
GOTERM_BP_DIRECT,cellular protein localization,4,8.510638298,6.85E-04,-3.16461212,"CTNNB1, SFN, YWHAZ, PLEC",47,73,19462,22.68959487,0.348617313,0.428511235,0.428511235,5.1,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,rRNA processing,7,11.86440678,5.25E-04,-3.279531798,"RPS9, RPS7, NCL, RPL13, RPL23A, RPL15, RPL28",56,205,11009,6.712804878,0.198054697,0.008172477,0.007491438,4,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,Peptide chain elongation,5,10,4.82E-04,-3.317185434,"RPL23, RPL13A, RPL15, RPL10A, RPS11",46,90,11009,13.29589372,0.147014888,0.0233768,0.02160583,2.9,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,Metabolism of vitamins and cofactors,7,11.86440678,3.92E-04,-3.406839648,"RBP4, CYB5R3, QPRT, PCCB, APOC3, APOA4, LRP2",56,194,11009,7.093427835,0.151787944,0.006766811,0.00620291,4,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,Apoptosis,6,12.76595745,2.76E-04,-3.55873627,"PSMC5, PSMB4, CTNNB1, SFN, YWHAZ, PLEC",37,180,11009,9.918018018,0.099906331,0.105241906,0.105241906,5.1,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,Regulation of IGF transport and uptake by IGFBPs,6,12,1.48E-04,-3.82997134,"AHSG, SERPINC1, PLG, APOL1, PDIA6, CP",46,125,11009,11.48765217,0.047644994,0.0233768,0.02160583,2.9,DOWN,,,,,,,,,,,,,,
GOTERM_BP_DIRECT,cytoplasmic translation,5,10,8.07E-05,-4.093239867,"RPL23, RPL13A, RPL15, RPL10A, RPS11",50,91,19462,21.38681319,0.034955287,0.035579408,0.035498729,2.9,DOWN,,,,,,,,,,,,,,
GOTERM_BP_DIRECT,translation,7,11.86440678,4.15E-05,-4.381599765,"RPS9, RPS7, RPL13, RPL23A, RRBP1, RPL15, RPL28",57,222,19462,10.76608187,0.026070109,0.013207705,0.013207705,4,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,Metabolism of amino acids and derivatives,12,15.78947368,1.70E-05,-4.769973509,"RPS4Y2, RPLP0, RPL35A, RPL13, RPSA, RPL23A, RPS3A, RPS11, RPL18, HSD17B10, RPL26L1, FTCD",69,376,11009,5.092044403,0.006888497,2.56E-04,2.20E-04,LM,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,Metabolism of amino acids and derivatives,12,20.33898305,1.97E-06,-5.704617138,"GCDH, RPS9, PSMB4, AUH, RPS7, ARG1, RPL13, RPL23A, RPL15, RPL28, PSMB9, AGMAT",56,376,11009,6.27412614,8.29E-04,4.15E-04,3.80E-04,4,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,Metabolism,24,48,1.65E-06,-5.781984915,"VKORC1, FDPS, CYB5A, ECI1, RPL23, AKR1D1, RPL13A, APOC3, HOGA1, RPL10A, PAICS, AGT, NDST1, CA1, ACOX2, ALDH1B1, LPCAT3, GNB2, GPD1, BLVRB, PCBD1, RPL15, RPS11, HAO2",46,2126,11009,2.701705591,5.45E-04,5.45E-04,5.04E-04,2.9,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,rRNA processing,11,14.47368421,4.57E-07,-6.340056418,"RPS4Y2, RPLP0, RPL35A, RPL13, RPSA, RPL23A, RPS3A, RPS11, RPL18, HSD17B10, RPL26L1",69,205,11009,8.561258395,1.86E-04,9.03E-06,7.76E-06,LM,DOWN,,,,,,,,,,,,,,
GOTERM_BP_DIRECT,translation,10,13.15789474,1.82E-07,-6.740406573,"RPS4Y2, RPLP0, RPL35A, RPL13, RPSA, RPL23A, RPS3A, RPS11, RPL18, RPL26L1",76,222,19462,11.53508772,1.16E-04,5.78E-05,5.71E-05,LM,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,Peptide chain elongation,10,13.15789474,3.60E-09,-8.443361576,"RPS4Y2, RPLP0, RPL35A, RPL13, RPSA, RPL23A, RPS3A, RPS11, RPL18, RPL26L1",69,90,11009,17.72785829,1.47E-06,3.61E-07,3.10E-07,LM,DOWN,,,,,,,,,,,,,,
GOTERM_BP_DIRECT,cytoplasmic translation,9,11.84210526,2.18E-09,-8.661412953,"RPLP0, RPL35A, RPL13, RPSA, RPL23A, RPS3A, RPS11, RPL18, RPL26L1",76,91,19462,25.3264893,1.39E-06,1.39E-06,1.37E-06,LM,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,Metabolism,32,54.23728814,1.13E-09,-8.947150487,"GCDH, ARF1, QPRT, AKR1D1, HSD17B4, PRELP, LRP2, COX7C, NDST1, PSMB4, CYB5R3, AUH, NNT, PGK1, RPL13, RPL15, PCK2, FDPS, RPS9, RPS7, ARG1, APOC3, RPL23A, APOA4, PSMB9, AGMAT, RBP4, EHHADH, PCCB, ACO2, RPL28, GAPDH",56,2126,11009,2.959010886,4.74E-07,4.74E-07,4.35E-07,4,DOWN,,,,,,,,,,,,,,
REACTOME_PATHWAY,Metabolism,38,50,1.12E-10,-9.951015446,"GPI, RPS4Y2, HSP90AB1, RPLP0, NDUFB3, AK4, UQCR10, COMT, HSD17B10, FTCD, NDST1, UGP2, TTR, ALDH1B1, RPL13, AOX1, HMGCS2, RPS11, RPL18, MDH1, MDH2, RPL35A, APOC3, RPL23A, APOA4, RPSA, RPS3A, SDHB, HADHB, RBP4, APOC2, CYP1A2, ALDH1A1, SUCLG2, FBP1, FBP2, RPL26L1, CES1",69,2126,11009,2.851800346,4.56E-08,4.56E-08,3.92E-08,LM,DOWN,,,,,,,,,,,,,,
