Category,Term,Count,%,PValue,LOG10P,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,
REACTOME_PATHWAY,R-HSA-9734009~Defective Intrinsic Pathway for Apoptosis,3,4.545454545,0.006497186,2.19E+00,"YWHAE, CAPNS1, LMNA",55,25,11091,24.19854545,0.875802592,0.074253551,0.067988408,UP
GOTERM_BP_DIRECT,GO:0032119~sequestering of zinc ion,2,3.03030303,0.006576932,2.18E+00,"S100A9, S100A8",66,2,19734,299,0.93905784,0.155264835,0.151236738,UP
GOTERM_BP_DIRECT,GO:0070488~neutrophil aggregation,2,3.03030303,0.006576932,2.18E+00,"S100A9, S100A8",66,2,19734,299,0.93905784,0.155264835,0.151236738,UP
GOTERM_BP_DIRECT,GO:0050778~positive regulation of immune response,3,4.545454545,0.006605378,2.18E+00,"C6, C9, C8A",66,37,19734,24.24324324,0.939793249,0.155264835,0.151236738,UP
GOTERM_BP_DIRECT,GO:0007339~binding of sperm to zona pellucida,3,4.545454545,0.006957622,2.16E+00,"ALDOA, CCT7, CCT5",66,38,19734,23.60526316,0.948198819,0.155264835,0.151236738,UP
REACTOME_PATHWAY,R-HSA-70263~Gluconeogenesis,3,4.545454545,0.00701678,2.15E+00,"ALDOC, ALDOB, ALDOA",55,26,11091,23.26783217,0.894946362,0.077426536,0.070893672,UP
KEGG_PATHWAY,hsa00051:Fructose and mannose metabolism,3,4.545454545,0.008790517,2.06E+00,"ALDOC, ALDOB, ALDOA",38,34,8840,20.52631579,0.560066827,0.090835338,0.08399827,UP
REACTOME_PATHWAY,R-HSA-168898~Toll-like Receptor Cascades,5,7.575757576,0.009103609,2.04E+00,"FGB, FGG, S100A12, S100A9, S100A8",55,169,11091,5.966110812,0.946415524,0.097105158,0.08891191,UP
REACTOME_PATHWAY,R-HSA-1236974~ER-Phagosome pathway,4,6.060606061,0.009510613,2.02E+00,"FGB, FGG, S100A9, S100A8",55,90,11091,8.962424242,0.953016595,0.098174068,0.089890631,UP
GOTERM_BP_DIRECT,GO:1900026~positive regulation of substrate adhesion-dependent cell spreading,3,4.545454545,0.010071881,2.00E+00,"FGB, FGG, S100A10",66,46,19734,19.5,0.98632422,0.213523876,0.207984341,UP
GOTERM_BP_DIRECT,GO:0006094~gluconeogenesis,3,4.545454545,0.011820719,1.93E+00,"ALDOC, ALDOB, PGM1",66,50,19734,17.94,0.993538173,0.238665952,0.232474147,UP
KEGG_PATHWAY,hsa01200:Carbon metabolism,4,6.060606061,0.012368854,1.91E+00,"CAT, ALDOC, ALDOB, ALDOA",38,116,8840,8.021778584,0.685721776,0.115030344,0.106372146,UP
GOTERM_BP_DIRECT,GO:0018119~peptidyl-cysteine S-nitrosylation,2,3.03030303,0.01311127,1.88E+00,"S100A9, S100A8",66,4,19734,149.5,0.996287108,0.252689933,0.246134298,UP
REACTOME_PATHWAY,R-HSA-71387~Metabolism of carbohydrates,6,9.090909091,0.013131891,1.88E+00,"DCXR, ALDH1A1, ALDOC, ALDOB, ALDOA, PGM1",55,290,11091,4.172163009,0.985448198,0.131318907,0.120238874,UP
REACTOME_PATHWAY,R-HSA-1236975~Antigen processing-Cross presentation,4,6.060606061,0.014421259,1.84E+00,"FGB, FGG, S100A9, S100A8",55,105,11091,7.682077922,0.990423106,0.139842511,0.128043299,UP
KEGG_PATHWAY,hsa04810:Regulation of actin cytoskeleton,5,7.575757576,0.015048432,1.82E+00,"C5, C6, C9, C8A, KNG1",38,230,8840,5.057208238,0.755891179,0.12722765,0.117651375,UP
REACTOME_PATHWAY,R-HSA-140877~Formation of Fibrin Clot (Clotting Cascade),3,4.545454545,0.015366328,1.81E+00,"FGB, FGG, KNG1",55,39,11091,15.51188811,0.992954713,0.144624267,0.132421594,UP
GOTERM_BP_DIRECT,GO:0042742~defense response to bacterium,4,6.060606061,0.016095521,1.79E+00,"HP, S100A12, S100A9, S100A8",66,161,19734,7.428571429,0.998971876,0.28907173,0.281572228,UP
GOTERM_BP_DIRECT,GO:0020027~hemoglobin metabolic process,2,3.03030303,0.016362551,1.79E+00,"HPX, CAT",66,5,19734,119.6,0.999083646,0.28907173,0.281572228,UP
REACTOME_PATHWAY,R-HSA-2173782~Binding and Uptake of Ligands by Scavenger Receptors,3,4.545454545,0.017689965,1.75E+00,"HPX, HP, APOL1",55,42,11091,14.4038961,0.99669215,0.161736827,0.148090282,UP
GOTERM_BP_DIRECT,GO:0006457~protein folding,4,6.060606061,0.018291271,1.74E+00,"FKBP1A, APCS, CCT7, CCT5",66,169,19734,7.076923077,0.999601301,0.299036311,0.291278294,UP
GOTERM_BP_DIRECT,GO:0030168~platelet activation,3,4.545454545,0.018337132,1.74E+00,"FGB, FGG, CD9",66,63,19734,14.23809524,0.999609121,0.299036311,0.291278294,UP
GOTERM_BP_DIRECT,"GO:0072378~blood coagulation, fibrin clot formation",2,3.03030303,0.022833505,1.64E+00,"FGB, FGG",66,7,19734,85.42857143,0.999944195,0.3457645,0.336794195,UP
GOTERM_BP_DIRECT,GO:0035425~autocrine signaling,2,3.03030303,0.022833505,1.64E+00,"S100A9, S100A8",66,7,19734,85.42857143,0.999944195,0.3457645,0.336794195,UP
REACTOME_PATHWAY,R-HSA-70350~Fructose catabolism,2,3.03030303,0.024112467,1.62E+00,"ALDH1A1, ALDOB",55,5,11091,80.66181818,0.99959456,0.214333039,0.196248689,UP
GOTERM_BP_DIRECT,GO:0030212~hyaluronan metabolic process,2,3.03030303,0.026053245,1.58E+00,"ITIH4, ITIH3",66,8,19734,74.75,0.99998623,0.380916414,0.371034148,UP
REACTOME_PATHWAY,R-HSA-6799990~Metal sequestration by antimicrobial proteins,2,3.03030303,0.028866023,1.54E+00,"S100A9, S100A8",55,6,11091,67.21818182,0.999915018,0.249652094,0.228587699,UP
GOTERM_BP_DIRECT,GO:1900180~regulation of protein localization to nucleus,2,3.03030303,0.02926254,1.53E+00,"LMNA, SUMO4",66,9,19734,66.44444444,0.999996603,0.387728649,0.377669651,UP
GOTERM_BP_DIRECT,GO:0002544~chronic inflammatory response,2,3.03030303,0.02926254,1.53E+00,"S100A9, S100A8",66,9,19734,66.44444444,0.999996603,0.387728649,0.377669651,UP
GOTERM_BP_DIRECT,GO:0051838~cytolysis by host of symbiont cells,2,3.03030303,0.02926254,1.53E+00,"CFHR1, APOL1",66,9,19734,66.44444444,0.999996603,0.387728649,0.377669651,UP
GOTERM_BP_DIRECT,GO:0030593~neutrophil chemotaxis,3,4.545454545,0.03064003,1.51E+00,"S100A12, S100A9, S100A8",66,83,19734,10.80722892,0.999998139,0.393246928,0.383044767,UP
GOTERM_BP_DIRECT,GO:1904851~positive regulation of establishment of protein localization to telomere,2,3.03030303,0.032461421,1.49E+00,"CCT7, CCT5",66,10,19734,59.8,0.999999162,0.393246928,0.383044767,UP
GOTERM_BP_DIRECT,GO:0034121~regulation of toll-like receptor signaling pathway,2,3.03030303,0.032461421,1.49E+00,"S100A9, S100A8",66,10,19734,59.8,0.999999162,0.393246928,0.383044767,UP
REACTOME_PATHWAY,R-HSA-5652084~Fructose metabolism,2,3.03030303,0.033596852,1.47E+00,"ALDH1A1, ALDOB",55,7,11091,57.61558442,0.99998219,0.282920858,0.259049411,UP
GOTERM_BP_DIRECT,GO:0031639~plasminogen activation,2,3.03030303,0.035649923,1.45E+00,"FGB, FGG",66,11,19734,54.36363636,0.999999793,0.397778084,0.38745837,UP
GOTERM_BP_DIRECT,GO:0006081~cellular aldehyde metabolic process,2,3.03030303,0.035649923,1.45E+00,"ALDH1A1, ALDH9A1",66,11,19734,54.36363636,0.999999793,0.397778084,0.38745837,UP
GOTERM_BP_DIRECT,GO:1904871~positive regulation of protein localization to Cajal body,2,3.03030303,0.035649923,1.45E+00,"CCT7, CCT5",66,11,19734,54.36363636,0.999999793,0.397778084,0.38745837,UP
REACTOME_PATHWAY,R-HSA-9033241~Peroxisomal protein import,3,4.545454545,0.037613738,1.42E+00,"GSTK1, CAT, HSD17B4",55,63,11091,9.602597403,0.999995303,0.308625541,0.282585261,UP
GOTERM_BP_DIRECT,GO:0007596~blood coagulation,3,4.545454545,0.038462277,1.41E+00,"FGB, SERPINA1, KNG1",66,94,19734,9.542553191,0.99999994,0.411577625,0.400899904,UP
GOTERM_BP_DIRECT,GO:0090277~positive regulation of peptide hormone secretion,2,3.03030303,0.038828078,1.41E+00,"FGB, FGG",66,12,19734,49.83333333,0.999999949,0.411577625,0.400899904,UP
KEGG_PATHWAY,hsa01230:Biosynthesis of amino acids,3,4.545454545,0.039071928,1.41E+00,"ALDOC, ALDOB, ALDOA",38,75,8840,9.305263158,0.975438667,0.30280744,0.280015482,UP
GOTERM_BP_DIRECT,GO:0030855~epithelial cell differentiation,3,4.545454545,0.041476507,1.38E+00,"GSTK1, TST, ALDOC",66,98,19734,9.153061224,0.999999984,0.428927783,0.41779994,UP
REACTOME_PATHWAY,R-HSA-6802952~Signaling by BRAF and RAF1 fusions,3,4.545454545,0.042063743,1.38E+00,"FGB, LMNA, FGG",55,67,11091,9.029308005,0.999998934,0.336509946,0.308116919,UP
GOTERM_BP_DIRECT,GO:0002523~leukocyte migration involved in inflammatory response,2,3.03030303,0.045153481,1.35E+00,"S100A9, S100A8",66,14,19734,42.71428571,0.999999997,0.45583514,0.444009228,UP
KEGG_PATHWAY,hsa04613:Neutrophil extracellular trap formation,4,6.060606061,0.045674072,1.34E+00,"FGB, C3, C5, FGG",38,192,8840,4.846491228,0.987064141,0.311756013,0.288290507,UP
KEGG_PATHWAY,hsa04146:Peroxisome,3,4.545454545,0.046931013,1.33E+00,"GSTK1, CAT, HSD17B4",38,83,8840,8.408370323,0.98855638,0.311756013,0.288290507,UP
REACTOME_PATHWAY,R-HSA-390450~Folding of actin by CCT/TriC,2,3.03030303,0.047654034,1.32E+00,"CCT7, CCT5",55,10,11091,40.33090909,0.999999836,0.368015066,0.336963795,UP
GOTERM_BP_DIRECT,GO:0034116~positive regulation of heterotypic cell-cell adhesion,2,3.03030303,0.048300794,1.32E+00,"FGB, FGG",66,15,19734,39.86666667,0.999999999,0.465444019,0.45336882,UP
GOTERM_BP_DIRECT,GO:1904874~positive regulation of telomerase RNA localization to Cajal body,2,3.03030303,0.048300794,1.32E+00,"CCT7, CCT5",66,15,19734,39.86666667,0.999999999,0.465444019,0.45336882,UP
REACTOME_PATHWAY,R-HSA-70171~Glycolysis,3,4.545454545,0.049087524,1.31E+00,"ALDOC, ALDOB, ALDOA",55,73,11091,8.287173101,0.999999899,0.368015066,0.336963795,UP
REACTOME_PATHWAY,R-HSA-1643685~Disease,15,22.72727273,0.049452025,1.31E+00,"FGB, YWHAE, DCXR, FGG, CP, FKBP1A, C3, CAPNS1, LMNA, RPL37A, CD9, ALDOB, S100A9, S100A8, PGM1",55,1819,11091,1.662901694,0.999999911,0.368015066,0.336963795,UP
