Category,,Count,%,PValue,LOG10P,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,,,
KEGG_PATHWAY,Carbon metabolism,7,9.459459459,1.15E-04,-3.94E+00,"GPI, MDH1, MDH2, SUCLG2, PGD, FBP1, FBP2",60,116,8840,8.890804598,0.016374342,0.007978782,0.007867965,NEG,#N/A,-3.940643396
KEGG_PATHWAY,Coronavirus disease - COVID-19,9,12.16216216,1.66E-04,-3.78E+00,"RPLP0, RPL35A, RPL13, RPL23A, RPS11, RPL18, RPS10, RPL28, RPL26L1",60,238,8840,5.571428571,0.023654085,0.007978782,0.007867965,NEG,#N/A,-3.779304658
GOTERM_BP_DIRECT,biological process involved in interaction with symbiont,3,4.054054054,2.01E-04,-3.70E+00,"FN1, PLG, HSPD1",74,6,19734,133.3378378,0.117803536,0.031331983,0.031331983,NEG,#N/A,-3.697832145
REACTOME_PATHWAY,Viral Infection Pathways,15,20.27027027,3.06E-04,-3.51E+00,"NPM1, HSP90AB1, RPLP0, RPL35A, RPL23A, PSMA5, GANAB, NCL, RPL13, RPS11, RPL18, RPL28, RPS10, YWHAG, RPL26L1",67,830,11091,2.991638195,0.149049688,0.005379228,0.005011766,NEG,#N/A,-3.513969443
REACTOME_PATHWAY,Translation,9,12.16216216,3.20E-04,-3.49E+00,"RPLP0, RPL35A, RPL13, RPL23A, RPS11, RPL18, RPS10, RPL28, RPL26L1",67,292,11091,5.102177469,0.155194791,0.005439426,0.005067853,NEG,#N/A,-3.494895818
GOTERM_BP_DIRECT,tricarboxylic acid cycle,4,5.405405405,3.73E-04,-3.43E+00,"MDH1, MDH2, COL6A1, SUCLG2",74,38,19734,28.07112376,0.208132678,0.046663573,0.046663573,NEG,#N/A,-3.427932026
REACTOME_PATHWAY,Cellular responses to stress,14,18.91891892,7.86E-04,-3.10E+00,"HSP90AB1, HM13, RPLP0, HBB, RPL35A, RPL23A, PGD, PSMA5, RPL13, RPS11, RPL18, RPL28, RPS10, RPL26L1",67,805,11091,2.878909799,0.339344318,0.012948734,0.012064191,NEG,#N/A,-3.104433319
REACTOME_PATHWAY,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),6,8.108108108,8.66E-04,-3.06E+00,"TF, AHSG, SERPINC1, FN1, PLG, IGFALS",67,125,11091,7.945791045,0.366516361,0.013827983,0.012883377,NEG,#N/A,-3.062537848
REACTOME_PATHWAY,Cellular responses to stimuli,14,18.91891892,9.23E-04,-3.03E+00,"HSP90AB1, HM13, RPLP0, HBB, RPL35A, RPL23A, PGD, PSMA5, RPL13, RPS11, RPL18, RPL28, RPS10, RPL26L1",67,819,11091,2.829697666,0.385430852,0.01431203,0.013334359,NEG,#N/A,-3.034630448
REACTOME_PATHWAY,Platelet degranulation ,6,8.108108108,9.98E-04,-3.00E+00,"TF, AHSG, FN1, PLG, A2M, SERPINA4",67,129,11091,7.699409927,0.409096496,0.015024001,0.013997694,NEG,Platelet degranulation ,-3.000956967
REACTOME_PATHWAY,Metabolism of RNA,13,17.56756757,0.001052574,-2.98E+00,"RPLP0, RPL35A, RPL23A, PSMA5, PTBP1, NCL, RPL13, RPS11, RPL18, RPL28, SF3B1, RPS10, RPL26L1",67,726,11091,2.964166769,0.425927106,0.015408521,0.014355947,NEG,#N/A,-2.977747158
KEGG_PATHWAY,Pentose phosphate pathway,4,5.405405405,0.001111539,-2.95E+00,"GPI, PGD, FBP1, FBP2",60,31,8840,19.01075269,0.147984576,0.040015406,0.039459637,NEG,#N/A,-2.95407527
REACTOME_PATHWAY,Response to elevated platelet cytosolic Ca2+,6,8.108108108,0.001183058,-2.93E+00,"TF, AHSG, FN1, PLG, A2M, SERPINA4",67,134,11091,7.412118512,0.464117768,0.016850588,0.015699504,NEG,#N/A,-2.926993824
REACTOME_PATHWAY,Degradation of the extracellular matrix,6,8.108108108,0.001437706,-2.84E+00,"COL6A1, FN1, COL6A3, PLG, A2M, CTSS",67,140,11091,7.09445629,0.531498659,0.019938714,0.018576677,NEG,#N/A,-2.842329871
REACTOME_PATHWAY,Infectious disease,15,20.27027027,0.0023663,-2.63E+00,"NPM1, HSP90AB1, RPLP0, RPL35A, RPL23A, PSMA5, GANAB, NCL, RPL13, RPS11, RPL18, RPL28, RPS10, YWHAG, RPL26L1",67,1022,11091,2.429608318,0.713070249,0.031975387,0.02979111,NEG,#N/A,-2.625930198
REACTOME_PATHWAY,Phase I - Functionalization of compounds,5,6.756756757,0.003606398,-2.44E+00,"HSP90AB1, CYB5R3, ALDH1B1, ALDH1A1, CES1",67,106,11091,7.808363841,0.8510295,0.04751429,0.044268532,NEG,#N/A,-2.442926378
REACTOME_PATHWAY,Neutrophil degranulation,9,12.16216216,0.007352188,-2.13E+00,"PSMA5, RAB10, GPI, HSP90AB1, CYB5R3, NPC2, AHSG, HBB, CTSS",67,480,11091,3.103824627,0.979532493,0.092967819,0.086617076,NEG,Neutrophil degranulation,-2.133583397
GOTERM_BP_DIRECT,sucrose biosynthetic process,2,2.702702703,0.007384901,-2.13E+00,"FBP1, FBP2",74,2,19734,266.6756757,0.990271451,0.751087733,0.751087733,NEG,#N/A,-2.131655299
REACTOME_PATHWAY,Metabolism of carbohydrates,7,9.459459459,0.0074092,-2.13E+00,"GPI, NDST1, GBE1, ALDH1A1, PGD, FBP1, FBP2",67,290,11091,3.995728255,0.980142736,0.092967819,0.086617076,NEG,#N/A,-2.130228683
GOTERM_BP_DIRECT,ribosomal large subunit biogenesis,3,4.054054054,0.009154972,-2.04E+00,"NPM1, RPL35A, RPL26L1",74,39,19734,20.51351351,0.996811517,0.751087733,0.751087733,NEG,#N/A,-2.038342996
GOTERM_BP_DIRECT,acute-phase response,3,4.054054054,0.009613923,-2.02E+00,"AHSG, FN1, A2M",74,40,19734,20.00067568,0.997613129,0.751087733,0.751087733,NEG,acute-phase response,-2.017099361
KEGG_PATHWAY,Glycolysis / Gluconeogenesis,4,5.405405405,0.009997773,-2.00E+00,"GPI, ALDH1B1, FBP1, FBP2",60,67,8840,8.7960199,0.764707161,0.262349613,0.258705869,NEG,#N/A,-2.000096733
REACTOME_PATHWAY,SARS-CoV-1 Infection,5,6.756756757,0.010053654,-2.00E+00,"NPM1, GANAB, RPS11, RPS10, YWHAG",67,142,11091,5.828778642,0.995132081,0.123215707,0.114798695,NEG,#N/A,-1.997676086
REACTOME_PATHWAY,Gluconeogenesis,3,4.054054054,0.010338337,-1.99E+00,"GPI, FBP1, FBP2",67,26,11091,19.10045924,0.995816732,0.123825084,0.115366444,NEG,gluconeogenesis,-1.985549308
KEGG_PATHWAY,Metabolic pathways,19,25.67567568,0.010931234,-1.96E+00,"GPI, ALDH1L1, MDH1, MDH2, GBE1, AK4, UQCR10, PGD, FTCD, HADHB, NDST1, GANAB, BHMT, ALDH1B1, ALDH1A1, SUCLG2, AOX1, FBP1, FBP2",60,1561,8840,1.793294896,0.794593495,0.262349613,0.258705869,NEG,#N/A,-1.961330813
GOTERM_BP_DIRECT,antigen processing and presentation,3,4.054054054,0.012058177,-1.92E+00,"RAB10, CTSS, HLA-DRB1",74,45,19734,17.77837838,0.999490544,0.837373419,0.837373419,NEG,#N/A,-1.918718337
GOTERM_BP_DIRECT,positive regulation of T cell mediated immune response to tumor cell,2,2.702702703,0.014716008,-1.83E+00,"HLA-DRB1, HSPD1",74,4,19734,133.3378378,0.9999054,0.919750479,0.919750479,NEG,#N/A,-1.832209995
KEGG_PATHWAY,Citrate cycle (TCA cycle),3,4.054054054,0.016898317,-1.77E+00,"MDH1, MDH2, SUCLG2",60,30,8840,14.73333333,0.914063965,0.347622518,0.342794428,NEG,Citrate cycle (TCA cycle),-1.772156551
REACTOME_PATHWAY,Disease,19,25.67567568,0.017246744,-1.76E+00,"BLM, NPM1, HSP90AB1, GBE1, RPLP0, FN1, RPL35A, RPL23A, PSMA5, GANAB, RBP4, NCL, RPL13, RPS11, RPL18, RPL28, RPS10, YWHAG, RPL26L1",67,1819,11091,1.729086836,0.999895709,0.201978537,0.188181141,NEG,#N/A,-1.76329288
REACTOME_PATHWAY,SARS-CoV-1-host interactions,4,5.405405405,0.019414071,-1.71E+00,"NPM1, RPS11, RPS10, YWHAG",67,96,11091,6.89738806,0.999967421,0.222417726,0.207224105,NEG,#N/A,-1.711883387
REACTOME_PATHWAY,"Platelet activation, signaling and aggregation",6,8.108108108,0.019931176,-1.70E+00,"TF, AHSG, FN1, PLG, A2M, SERPINA4",67,263,11091,3.776516656,0.999975327,0.223483608,0.208217176,NEG,#N/A,-1.700467083
REACTOME_PATHWAY,Mitochondrial protein degradation,4,5.405405405,0.02049433,-1.69E+00,"ALDH1B1, MDH2, SUCLG2, HSPD1",67,98,11091,6.756625038,0.999981775,0.225010665,0.209639918,NEG,#N/A,-1.688366274
KEGG_PATHWAY,Complement and coagulation cascades,4,5.405405405,0.020759309,-1.68E+00,"SERPINC1, CFI, PLG, A2M",60,88,8840,6.696969697,0.951238051,0.373667558,0.36847773,NEG,#N/A,-1.682787112
REACTOME_PATHWAY,Post-translational protein phosphorylation,4,5.405405405,0.026385157,-1.58E+00,"TF, AHSG, SERPINC1, FN1",67,108,11091,6.131011609,0.999999241,0.283775051,0.264390038,NEG,#N/A,-1.578640325
GOTERM_BP_DIRECT,"fructose 1,6-bisphosphate metabolic process",2,2.702702703,0.029218378,-1.53E+00,"FBP1, FBP2",74,8,19734,66.66891892,0.999999991,1,1,NEG,#N/A,-1.534343898
REACTOME_PATHWAY,TFAP2A acts as a transcriptional repressor during retinoic acid induced cell differentiation,2,2.702702703,0.029407079,-1.53E+00,"NPM1, HSPD1",67,5,11091,66.21492537,0.999999853,0.309950612,0.288777516,NEG,#N/A,-1.531548112
REACTOME_PATHWAY,Metabolism of vitamins and cofactors,5,6.756756757,0.030092587,-1.52E+00,"ALDH1L1, RBP4, CYB5R3, APOC3, AOX1",67,198,11091,4.180235188,0.999999898,0.310956728,0.289714903,NEG,#N/A,-1.521540481
REACTOME_PATHWAY,Extracellular matrix organization,6,8.108108108,0.032748239,-1.48E+00,"COL6A1, FN1, COL6A3, PLG, A2M, CTSS",67,300,11091,3.310746269,0.999999976,0.331890809,0.309218951,NEG,#N/A,-1.484812045
GOTERM_BP_DIRECT,oxaloacetate metabolic process,2,2.702702703,0.032810949,-1.48E+00,"MDH1, MDH2",74,9,19734,59.26126126,0.999999999,1,1,NEG,#N/A,-1.483981208
GOTERM_BP_DIRECT,malate metabolic process,2,2.702702703,0.032810949,-1.48E+00,"MDH1, MDH2",74,9,19734,59.26126126,0.999999999,1,1,NEG,#N/A,-1.483981208
GOTERM_BP_DIRECT,fructose metabolic process,2,2.702702703,0.036390407,-1.44E+00,"FBP1, FBP2",74,10,19734,53.33513514,1,1,1,NEG,#N/A,-1.439013092
GOTERM_BP_DIRECT,NADH metabolic process,2,2.702702703,0.036390407,-1.44E+00,"MDH1, MDH2",74,10,19734,53.33513514,1,1,1,NEG,NADH metabolic process,-1.439013092
KEGG_PATHWAY,Pyruvate metabolism,3,4.054054054,0.039075381,-1.41E+00,"ALDH1B1, MDH1, MDH2",60,47,8840,9.404255319,0.996784399,0.584678901,0.576558361,NEG,Pyruvate metabolism,-1.408096782
KEGG_PATHWAY,"Valine, leucine and isoleucine degradation",3,4.054054054,0.040602701,-1.39E+00,"HADHB, ALDH1B1, AOX1",60,48,8840,9.208333333,0.997442694,0.584678901,0.576558361,NEG,#N/A,-1.39144507
REACTOME_PATHWAY,Biological oxidations,5,6.756756757,0.042978183,-1.37E+00,"HSP90AB1, CYB5R3, ALDH1B1, ALDH1A1, CES1",67,222,11091,3.72831787,1,0.427349105,0.398156376,NEG,Biological oxidations,-1.366751947
GOTERM_BP_DIRECT,detection of bacterium,2,2.702702703,0.04351017,-1.36E+00,"PGLYRP2, HLA-DRB1",74,12,19734,44.44594595,1,1,1,NEG,#N/A,-1.361409223
REACTOME_PATHWAY,Signaling by PDGF,3,4.054054054,0.046576537,-1.33E+00,"COL6A1, COL6A3, PLG",67,58,11091,8.562274833,1,0.454552502,0.423501478,NEG,#N/A,-1.331832802
KEGG_PATHWAY,Cysteine and methionine metabolism,3,4.054054054,0.046932283,-1.33E+00,"BHMT, MDH1, MDH2",60,52,8840,8.5,0.999014126,0.614386249,0.605853107,NEG,#N/A,-1.32852832
GOTERM_BP_DIRECT,fructose 6-phosphate metabolic process,2,2.702702703,0.047050569,-1.33E+00,"FBP1, FBP2",74,13,19734,41.02702703,1,1,1,NEG,#N/A,-1.327435119
GOTERM_BP_DIRECT,cellular response to insulin stimulus,3,4.054054054,0.047428723,-1.32E+00,"RAB10, FBP1, YWHAG",74,94,19734,8.510925819,1,1,1,NEG,#N/A,-1.323958571
GOTERM_BP_DIRECT,acute-phase response,6,50,1.21E-11,1.09E+01,"CRP, SERPINA3, ORM1, SERPINA1, HP, SAA2",12,40,19734,246.675,1.62E-09,1.62E-09,1.62E-09,POS,acute-phase response,10.91765802
REACTOME_PATHWAY,Innate Immune System,7,58.33333333,5.14E-05,4.29E+00,"CRP, SERPINA3, ORM1, SERPINA1, LRG1, C9, HP",10,1069,11091,7.262581852,0.002465928,0.002197724,0.001968795,POS,Innate Immune System,4.288736045
REACTOME_PATHWAY,Platelet degranulation ,4,33.33333333,1.23E-04,3.91E+00,"SERPINA3, ORM1, SERPINA1, SOD1",10,129,11091,34.39069767,0.005872221,0.002197724,0.001968795,POS,Platelet degranulation ,3.91118721
REACTOME_PATHWAY,Immune System,8,66.66666667,1.88E-04,3.73E+00,"CRP, SERPINA3, ORM1, SERPINA1, LRG1, C9, HP, SOD1",10,2054,11091,4.31976631,0.008965462,0.002251262,0.002016756,POS,Immune System,3.726755146
REACTOME_PATHWAY,Neutrophil degranulation,5,41.66666667,3.67E-04,3.44E+00,"SERPINA3, ORM1, SERPINA1, LRG1, HP",10,480,11091,11.553125,0.017461151,0.003522433,0.003155513,POS,Neutrophil degranulation,3.435428543
REACTOME_PATHWAY,"Platelet activation, signaling and aggregation",4,33.33333333,9.96E-04,3.00E+00,"SERPINA3, ORM1, SERPINA1, SOD1",10,263,11091,16.86844106,0.046708025,0.00796837,0.007138332,POS,#N/A,3.001720482
KEGG_PATHWAY,Prion disease,3,25,0.005669829,2.25E+00,"COX4I1, C9, SOD1",5,278,8840,19.07913669,0.117583577,0.12473624,0.12473624,POS,#N/A,2.246430031
GOTERM_BP_DIRECT,positive regulation of interleukin-1 production,2,16.66666667,0.007778132,2.11E+00,"ORM1, SAA2",12,14,19734,234.9285714,0.648780626,0.44623477,0.44623477,POS,#N/A,2.109124704
GOTERM_BP_DIRECT,positive regulation of superoxide anion generation,2,16.66666667,0.009990331,2.00E+00,"CRP, SOD1",12,18,19734,182.7222222,0.739573923,0.44623477,0.44623477,POS,#N/A,2.000420137
REACTOME_PATHWAY,Hemostasis,4,33.33333333,0.011432096,1.94E+00,"SERPINA3, ORM1, SERPINA1, SOD1",10,622,11091,7.132475884,0.424146117,0.078391512,0.07022573,POS,Hemostasis,1.941874154
GOTERM_BP_DIRECT,response to hydrogen peroxide,2,16.66666667,0.020437171,1.69E+00,"HP, SOD1",12,37,19734,88.89189189,0.937146742,0.591863298,0.591863298,POS,#N/A,1.689579229
GOTERM_BP_DIRECT,inflammatory response,3,25,0.022084451,1.66E+00,"CRP, SERPINA3, ORM1",12,422,19734,11.69075829,0.94983728,0.591863298,0.591863298,POS,inflammatory response,1.655913384
GOTERM_BP_DIRECT,negative regulation of endopeptidase activity,2,16.66666667,0.028070604,1.55E+00,"SERPINA3, SERPINA1",12,51,19734,64.49019608,0.977968091,0.626910166,0.626910166,POS,#N/A,1.551748235
GOTERM_BP_DIRECT,positive regulation of cytokine production,2,16.66666667,0.037267055,1.43E+00,"SAA2, SOD1",12,68,19734,48.36764706,0.993837148,0.713397908,0.713397908,POS,#N/A,1.428674927
KEGG_PATHWAY,Complement and coagulation cascades,2,16.66666667,0.039234917,1.41E+00,"SERPINA1, C9",5,88,8840,40.18181818,0.58544835,0.431584085,0.431584085,POS,#N/A,1.406327264
REACTOME_PATHWAY,Complement cascade,2,16.66666667,0.046108889,1.34E+00,"CRP, C9",10,58,11091,38.24482759,0.8962609,0.276653336,0.24783528,POS,#N/A,1.336215339
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
