,X1,X2,X3,X4,Cluster,gene
BGN,1.41,-0.52,-0.02,-0.87,cluster1,BGN
MGST3,1.4,-0.54,0.01,-0.87,cluster1,MGST3
TPPP3,1.41,-0.75,0,-0.66,cluster1,TPPP3
UQCRC1,1.4,-0.69,0.05,-0.75,cluster1,UQCRC1
SUCLA2,1.49,-0.66,-0.35,-0.48,cluster1,SUCLA2
TXNDC17,1.48,-0.7,-0.4,-0.38,cluster1,TXNDC17
X2.Mar,1.49,-0.66,-0.4,-0.42,cluster1,X2.Mar
BRF1,1.48,-0.7,-0.35,-0.43,cluster1,BRF1
PDLIM1,1.49,-0.69,-0.37,-0.42,cluster1,PDLIM1
TUFM,1.47,-0.71,-0.26,-0.51,cluster1,TUFM
MYLK,1.46,-0.67,-0.17,-0.62,cluster1,MYLK
YWHAH,1.46,-0.71,-0.18,-0.57,cluster1,YWHAH
HSPE1,1.47,-0.51,-0.25,-0.71,cluster1,HSPE1
ERP29,1.46,-0.5,-0.21,-0.75,cluster1,ERP29
KRT18,1.47,-0.51,-0.21,-0.74,cluster1,KRT18
UGT2B7,1.49,-0.49,-0.33,-0.67,cluster1,UGT2B7
HLA.DRA,1.49,-0.54,-0.37,-0.59,cluster1,HLA.DRA
VDAC2,1.48,-0.55,-0.29,-0.64,cluster1,VDAC2
TXN,1.49,-0.58,-0.3,-0.6,cluster1,TXN
ETFA,1.49,-0.56,-0.32,-0.61,cluster1,ETFA
UGDH,1.49,-0.54,-0.33,-0.62,cluster1,UGDH
MYOF,1.48,-0.61,-0.28,-0.59,cluster1,MYOF
CS,1.48,-0.62,-0.24,-0.62,cluster1,CS
RPL35,1.48,-0.61,-0.24,-0.63,cluster1,RPL35
GSS,1.47,-0.26,-0.48,-0.74,cluster1,GSS
PDHB,1.48,-0.27,-0.52,-0.69,cluster1,PDHB
VAPB,1.48,-0.27,-0.51,-0.7,cluster1,VAPB
FDPS,1.46,-0.18,-0.54,-0.74,cluster1,FDPS
LAMA5,1.45,-0.17,-0.51,-0.78,cluster1,LAMA5
ANXA6,1.45,-0.18,-0.44,-0.83,cluster1,ANXA6
RPL23,1.46,-0.21,-0.46,-0.79,cluster1,RPL23
ASPH,1.45,-0.24,-0.37,-0.84,cluster1,ASPH
WDR11,1.47,-0.29,-0.4,-0.78,cluster1,WDR11
CCT6A,1.47,-0.39,-0.33,-0.75,cluster1,CCT6A
OLFM4,1.48,-0.41,-0.33,-0.73,cluster1,OLFM4
ILF3,1.48,-0.4,-0.38,-0.7,cluster1,ILF3
ASPN,1.49,-0.42,-0.4,-0.67,cluster1,ASPN
H1F0,1.49,-0.4,-0.42,-0.67,cluster1,H1F0
PRDX2,1.49,-0.38,-0.43,-0.67,cluster1,PRDX2
CROCC,1.48,-0.34,-0.44,-0.7,cluster1,CROCC
FBP2,1.49,-0.34,-0.5,-0.65,cluster1,FBP2
PSMD3,1.49,-0.38,-0.54,-0.57,cluster1,PSMD3
ACTG2,1.49,-0.34,-0.59,-0.56,cluster1,ACTG2
HMGCL,1.49,-0.33,-0.61,-0.55,cluster1,HMGCL
DLAT,1.49,-0.3,-0.58,-0.61,cluster1,DLAT
SH3BGRL3,1.48,-0.28,-0.6,-0.6,cluster1,SH3BGRL3
PRDX5,1.5,-0.49,-0.5,-0.51,cluster1,PRDX5
TPI1,1.5,-0.44,-0.48,-0.57,cluster1,TPI1
RAB11A,1.5,-0.45,-0.52,-0.53,cluster1,RAB11A
RPS12,1.5,-0.44,-0.51,-0.55,cluster1,RPS12
CANX,1.5,-0.48,-0.42,-0.6,cluster1,CANX
FBP1,1.49,-0.43,-0.44,-0.62,cluster1,FBP1
C1QA,1.39,-0.23,-0.17,-0.99,cluster1,C1QA
RPLP0,1.4,-0.22,-0.19,-0.98,cluster1,RPLP0
PRDX1,1.4,-0.28,-0.16,-0.96,cluster1,PRDX1
AKR1C1,1.42,-0.28,-0.21,-0.93,cluster1,AKR1C1
HSD17B12,1.41,-0.29,-0.19,-0.94,cluster1,HSD17B12
RAP1A,1.36,-0.37,0.02,-1.01,cluster1,RAP1A
GSTA2,1.38,-0.38,-0.03,-0.97,cluster1,GSTA2
SYNGR2,1.38,-0.4,-0.02,-0.96,cluster1,SYNGR2
CRYZ,1.39,-0.34,-0.08,-0.98,cluster1,CRYZ
RPS18,1.42,-0.34,-0.15,-0.92,cluster1,RPS18
EEF1A1P5,1.41,-0.38,-0.11,-0.93,cluster1,EEF1A1P5
ERLIN2,1.41,-0.35,-0.11,-0.94,cluster1,ERLIN2
ECM1,1.43,-0.45,-0.11,-0.87,cluster1,ECM1
CAPN2,1.44,-0.4,-0.18,-0.85,cluster1,CAPN2
FKBP1A,1.46,-0.38,-0.26,-0.81,cluster1,FKBP1A
RAB8A,1.46,-0.41,-0.24,-0.81,cluster1,RAB8A
COX6C,1.45,-0.31,-0.28,-0.86,cluster1,COX6C
F13A1,1.46,-0.34,-0.3,-0.82,cluster1,F13A1
ARG1,1.21,-0.12,0.13,-1.22,cluster1,ARG1
FTL,1.26,-0.17,0.08,-1.17,cluster1,FTL
NUCKS1,1.25,-0.15,0.08,-1.18,cluster1,NUCKS1
S100A6,1.3,-0.14,-0.02,-1.14,cluster1,S100A6
RAB10,1.34,-0.23,-0.03,-1.08,cluster1,RAB10
RPL18,1.32,-0.27,0.04,-1.09,cluster1,RPL18
S100A9,1.32,-0.26,0.03,-1.09,cluster1,S100A9
CA2,1.29,-0.24,0.08,-1.13,cluster1,CA2
SEC61A2,1.3,-0.22,0.04,-1.12,cluster1,SEC61A2
HBD,1.36,-0.14,-0.17,-1.05,cluster1,HBD
DHRS4,1.34,-0.03,-0.23,-1.08,cluster1,DHRS4
PPIB,1.33,-0.02,-0.22,-1.09,cluster1,PPIB
F2,1.25,0.13,-0.2,-1.18,cluster1,F2
HSP90AB1,1.24,0.12,-0.17,-1.19,cluster1,HSP90AB1
SEPP1,1.27,0.04,-0.14,-1.17,cluster1,SEPP1
CEACAM8,1.27,0.07,-0.18,-1.16,cluster1,CEACAM8
TAGLN,1.29,0.05,-0.2,-1.14,cluster1,TAGLN
ADH1A,1.31,-0.08,-0.11,-1.12,cluster1,ADH1A
CALR,1.29,-0.05,-0.09,-1.15,cluster1,CALR
ACTR2,1.27,0,-0.1,-1.17,cluster1,ACTR2
PHB2,1.27,-0.02,-0.07,-1.18,cluster1,PHB2
SRP9,1.25,-0.02,-0.02,-1.2,cluster1,SRP9
BHMT,1.22,0.05,-0.05,-1.22,cluster1,BHMT
HNRNPU,1.22,0.03,-0.03,-1.22,cluster1,HNRNPU
CD5L,1.21,0,0.03,-1.24,cluster1,CD5L
FASN,1.2,0.01,0.04,-1.25,cluster1,FASN
BDH2,1.19,0.06,0.01,-1.26,cluster1,BDH2
VTN,1.18,0.04,0.04,-1.27,cluster1,VTN
RPL6,1.35,-0.51,0.11,-0.95,cluster1,RPL6
EEF1G,1.35,-0.54,0.13,-0.94,cluster1,EEF1G
IGHV3.15,1.34,-0.54,0.14,-0.94,cluster1,IGHV3.15
PSMA7,1.23,-0.57,0.36,-1.02,cluster1,PSMA7
MUC2,1.3,-0.5,0.22,-1.01,cluster1,MUC2
TAGLN2,1.28,-0.56,0.27,-0.99,cluster1,TAGLN2
COL6A2,1.18,-0.38,0.36,-1.16,cluster1,COL6A2
RPL9,1.1,-0.4,0.48,-1.18,cluster1,RPL9
TMEM109,1.11,-0.39,0.46,-1.18,cluster1,TMEM109
ESD,1.16,-0.5,0.44,-1.1,cluster1,ESD
PSMA4,1.15,-0.44,0.42,-1.14,cluster1,PSMA4
AOC3,1.2,-0.29,0.28,-1.18,cluster1,AOC3
PDLIM7,1.23,-0.27,0.21,-1.17,cluster1,PDLIM7
CA1,1.28,-0.41,0.21,-1.07,cluster1,CA1
RAD23B,1.25,-0.36,0.23,-1.12,cluster1,RAD23B
CYB5A,0.69,0.19,0.59,-1.46,cluster1,CYB5A
IGHG2,0.97,0.37,0.05,-1.39,cluster1,IGHG2
RAN,1.11,0.13,0.07,-1.32,cluster1,RAN
CAT,1.04,0.14,0.18,-1.36,cluster1,CAT
SORD,1.04,0.17,0.16,-1.37,cluster1,SORD
SELENBP1,1.08,0.13,0.13,-1.34,cluster1,SELENBP1
DES,1.11,0.08,0.13,-1.32,cluster1,DES
LAMP1,1.09,0.07,0.17,-1.33,cluster1,LAMP1
PDIA3,1.11,0.2,0,-1.31,cluster1,PDIA3
PADI2,1.09,0.21,0.02,-1.33,cluster1,PADI2
RPS10,1.08,0.21,0.04,-1.33,cluster1,RPS10
PADI4,1.12,0.23,-0.05,-1.3,cluster1,PADI4
TST,1.09,0.27,-0.04,-1.32,cluster1,TST
WDR1,1.18,0.18,-0.1,-1.25,cluster1,WDR1
AHSG,1.18,0.23,-0.16,-1.24,cluster1,AHSG
CCT6B,1.14,0.24,-0.12,-1.27,cluster1,CCT6B
MAOA,0.94,-0.06,0.49,-1.37,cluster1,MAOA
PTGR1,1.09,-0.04,0.28,-1.32,cluster1,PTGR1
C9,1.06,-0.07,0.34,-1.33,cluster1,C9
HNRNPA0,1.04,-0.09,0.38,-1.33,cluster1,HNRNPA0
ACSL1,1.16,-0.08,0.19,-1.27,cluster1,ACSL1
CPB2,1.13,-0.02,0.2,-1.3,cluster1,CPB2
HSPA5,1.12,-0.04,0.22,-1.3,cluster1,HSPA5
CDH17,1.14,-0.13,0.25,-1.27,cluster1,CDH17
LCP1,1.15,-0.19,0.29,-1.25,cluster1,LCP1
TGM2,1.16,-0.19,0.28,-1.24,cluster1,TGM2
PTMS,0.49,-0.51,1.13,-1.11,cluster1,PTMS
RPL14,0.83,-0.45,0.82,-1.2,cluster1,RPL14
DAD1,0.98,-0.51,0.68,-1.15,cluster1,DAD1
RPL7,1,-0.59,0.69,-1.09,cluster1,RPL7
LONP1,-1.42,0.8,0.04,0.59,cluster2,LONP1
FH,-1.21,1.09,-0.35,0.47,cluster2,FH
PRKCSH,-1.04,1.25,-0.52,0.31,cluster2,PRKCSH
GALM,-1.13,1.26,-0.31,0.17,cluster2,GALM
ITGA3,-1.01,1.36,-0.35,0,cluster2,ITGA3
RPS4Y2,-0.94,1.38,-0.46,0.02,cluster2,RPS4Y2
CYCS,-0.85,1.44,-0.15,-0.44,cluster2,CYCS
PSMC5,-0.83,1.44,-0.14,-0.48,cluster2,PSMC5
HIBADH,-0.81,1.46,-0.26,-0.39,cluster2,HIBADH
GGT5,-0.85,1.45,-0.32,-0.28,cluster2,GGT5
UQCRC2,-0.79,1.47,-0.39,-0.29,cluster2,UQCRC2
RTN1,-0.61,1.49,-0.31,-0.56,cluster2,RTN1
PSMD11,-0.54,1.5,-0.47,-0.48,cluster2,PSMD11
SOD2,-0.68,1.49,-0.45,-0.36,cluster2,SOD2
DYNC1H1,-0.97,1.37,0.03,-0.43,cluster2,DYNC1H1
VIL1,-0.81,1.41,-0.01,-0.59,cluster2,VIL1
FAH,-0.28,1.48,-0.53,-0.67,cluster2,FAH
PPBP,-0.54,1.41,-0.03,-0.84,cluster2,PPBP
AHCY,-0.36,1.39,-0.06,-0.97,cluster2,AHCY
RPL13A,-0.35,1.4,-0.11,-0.94,cluster2,RPL13A
ACY1,0.08,1.3,-0.26,-1.11,cluster2,ACY1
APOC2,-0.04,1.35,-0.25,-1.06,cluster2,APOC2
NAP1L4,0.07,0.96,NA,-1.04,cluster2,NAP1L4
ARPC5,-0.17,1.28,0.04,-1.15,cluster2,ARPC5
SNRPD3,-0.36,1.31,0.13,-1.07,cluster2,SNRPD3
FIS1,-0.25,1.21,0.24,-1.2,cluster2,FIS1
FMO5,-0.35,1.18,0.33,-1.17,cluster2,FMO5
RBP4,-0.38,1.25,0.24,-1.11,cluster2,RBP4
HNRNPD,0.05,1.17,0.05,-1.27,cluster2,HNRNPD
GMFB,-0.12,1.11,0.3,-1.29,cluster2,GMFB
PSMA5,-0.03,1.09,0.26,-1.32,cluster2,PSMA5
PTBP1,-1.21,1.17,0.3,-0.27,cluster2,PTBP1
HADHA,-1.17,1.17,0.36,-0.37,cluster2,HADHA
SAE1,-1.21,1.12,0.42,-0.34,cluster2,SAE1
ATP5B,-1.35,1.04,0.32,0,cluster2,ATP5B
CTH,-1.41,0.96,0.25,0.2,cluster2,CTH
COQ9,-1.29,1.14,-0.05,0.21,cluster2,COQ9
PLS3,-1.28,1.16,0.05,0.07,cluster2,PLS3
RPS4X,-1.19,1.24,0.13,-0.18,cluster2,RPS4X
COX7A2,-1.16,1.28,-0.06,-0.06,cluster2,COX7A2
SERPINA5,-1.15,1.29,-0.05,-0.09,cluster2,SERPINA5
CORO1C,-1.18,0.97,0.67,-0.46,cluster3,CORO1C
CDH16,-1.02,1.19,0.43,-0.61,cluster3,CDH16
CPN1,-0.91,1,0.71,-0.8,cluster3,CPN1
HIST1H4A,-0.8,1.21,0.42,-0.84,cluster3,HIST1H4A
TTR,-0.65,1.08,0.6,-1.02,cluster3,TTR
LMAN2,-0.64,1.15,0.5,-1.01,cluster3,LMAN2
GHITM,-0.69,1.14,0.52,-0.97,cluster3,GHITM
UBA52,-0.69,1.18,0.47,-0.95,cluster3,UBA52
DPYSL2,-1.34,0.64,0.87,-0.17,cluster3,DPYSL2
PSMB6,-1.41,0.67,0.74,0,cluster3,PSMB6
RTN4,-1.44,0.7,0.67,0.07,cluster3,RTN4
HNRNPK,-0.16,0.63,0.87,-1.35,cluster3,HNRNPK
EPHX1,-0.54,0.89,0.79,-1.14,cluster3,EPHX1
RAB7A,-0.55,0.87,0.81,-1.14,cluster3,RAB7A
HPD,-0.55,0.78,0.9,-1.13,cluster3,HPD
IGKV4.1,-0.49,0.74,0.92,-1.17,cluster3,IGKV4.1
RPL24,-0.62,0.78,0.92,-1.08,cluster3,RPL24
VAT1,-0.66,0.84,0.87,-1.05,cluster3,VAT1
CD44,-0.62,0.98,0.71,-1.07,cluster3,CD44
PGK1,-0.51,0.97,0.69,-1.15,cluster3,PGK1
APCS,-0.32,0.84,0.75,-1.28,cluster3,APCS
XRCC5,-0.28,0.82,0.75,-1.3,cluster3,XRCC5
GNB2,-0.16,0.79,0.72,-1.35,cluster3,GNB2
PSAP,-0.2,0.77,0.76,-1.33,cluster3,PSAP
TFG,-0.41,1.02,0.59,-1.2,cluster3,TFG
HRSP12,-0.17,0.98,0.52,-1.32,cluster3,HRSP12
MYL6,-0.32,1.03,0.54,-1.25,cluster3,MYL6
TPM3,-0.27,0.99,0.56,-1.28,cluster3,TPM3
IGKV3D.20,-0.33,0.94,0.65,-1.26,cluster3,IGKV3D.20
HNRNPA1L2,-0.2,0.9,0.63,-1.33,cluster3,HNRNPA1L2
ABCF1,-0.24,0.92,0.62,-1.3,cluster3,ABCF1
MSN,-0.27,0.94,0.62,-1.29,cluster3,MSN
OCIAD2,-0.29,0.94,0.63,-1.28,cluster3,OCIAD2
SERPINF2,-0.29,0.95,0.61,-1.28,cluster3,SERPINF2
BLVRB,-0.68,0.69,1.01,-1.02,cluster4,BLVRB
BZW1,-0.6,0.47,1.16,-1.04,cluster4,BZW1
SERPINA1,-0.59,0.59,1.08,-1.07,cluster4,SERPINA1
YWHAB,-0.34,0.36,1.16,-1.18,cluster4,YWHAB
COPA,-0.21,0.45,1.05,-1.28,cluster4,COPA
GSTO1,-0.38,0.66,0.95,-1.23,cluster4,GSTO1
CAPN1,-0.38,0.58,1.02,-1.22,cluster4,CAPN1
PA2G4,-0.37,0.54,1.04,-1.22,cluster4,PA2G4
HSD17B13,-0.5,0.16,1.33,-0.99,cluster4,HSD17B13
S100A12,-0.32,0.11,1.3,-1.09,cluster4,S100A12
MGST1,-0.98,0.3,1.27,-0.59,cluster4,MGST1
ADH1B,-0.89,0.39,1.23,-0.73,cluster4,ADH1B
LDHB,-0.83,0.5,1.17,-0.84,cluster4,LDHB
CAND1,-1.18,0.37,1.16,-0.34,cluster4,CAND1
RAB21,-1.26,0.36,1.11,-0.21,cluster4,RAB21
UGT2B4,-1.35,0.18,1.06,0.11,cluster4,UGT2B4
COX4I1,-1.18,0.02,1.26,-0.1,cluster4,COX4I1
SRI,-1.2,-0.12,1.24,0.09,cluster4,SRI
PAICS,-0.85,-0.07,1.42,-0.5,cluster4,PAICS
UBE2D2,-0.43,-0.54,1.5,-0.54,cluster4,UBE2D2
FBN1,-0.6,-0.28,1.48,-0.6,cluster4,FBN1
PLP2,-0.59,-0.23,1.47,-0.65,cluster4,PLP2
IGHV4.61,-0.56,-0.73,1.46,-0.18,cluster4,IGHV4.61
ABCB9,0.02,-0.63,1.4,-0.8,cluster4,ABCB9
SAA2,-0.15,-0.45,1.44,-0.83,cluster4,SAA2
ACADVL,-0.92,-0.63,0.25,1.3,cluster5,ACADVL
HYOU1,-0.83,-0.88,0.67,1.04,cluster5,HYOU1
UBE2N,-1,-0.72,0.76,0.95,cluster5,UBE2N
GNG12,-1.24,-0.19,0.27,1.16,cluster5,GNG12
LSS,-1.23,0.05,-0.03,1.22,cluster5,LSS
SLC4A1,-1.37,-0.12,0.69,0.8,cluster5,SLC4A1
ARF4,-1.46,0.25,0.43,0.79,cluster5,ARF4
EIF3B,-1.49,0.58,0.3,0.61,cluster5,EIF3B
HSD11B2,-1.5,0.44,0.52,0.53,cluster5,HSD11B2
ECI2,-1.46,0.38,0.81,0.27,cluster5,ECI2
PGM2,-1.47,0.2,0.69,0.58,cluster5,PGM2
PRMT1,-1.42,0.08,0.89,0.45,cluster5,PRMT1
