"","Disease remission","Low disease activity","Moderate disease activity","High disease activity","Cluster","gene"
"OGDH",-1.08,1.08,-0.58,0.57,"cluster2","OGDH"
"C8B",-0.87,0.6,-0.83,1.1,"cluster2","C8B"
"ST13P4",-0.63,0.55,-1.03,1.11,"cluster2","ST13P4"
"IGLV3.9",-0.86,1,-0.86,0.73,"cluster2","IGLV3.9"
"PRDX6",-0.76,0.89,-0.96,0.83,"cluster2","PRDX6"
"PCYOX1",-0.3,0.91,-1.28,0.67,"cluster2","PCYOX1"
"RUVBL1",-0.58,1.02,-1.1,0.66,"cluster2","RUVBL1"
"LMNA",-0.17,1.25,0.1,-1.18,"cluster6","LMNA"
"S100A13",-0.25,1.35,-0.05,-1.05,"cluster6","S100A13"
"GLOD4",-0.16,1.38,-0.2,-1.02,"cluster6","GLOD4"
"CNN1",-0.86,1.13,0.56,-0.82,"cluster6","CNN1"
"GSTA2",-0.53,1.34,0.14,-0.95,"cluster6","GSTA2"
"RPL35",-0.64,1.41,0.01,-0.78,"cluster6","RPL35"
"IGHA2",-1.06,1.35,-0.04,-0.25,"cluster6","IGHA2"
"COL1A2",-0.8,1.46,-0.32,-0.34,"cluster6","COL1A2"
"STT3A",-0.89,1.42,-0.09,-0.45,"cluster6","STT3A"
"RAB21",-0.21,1.47,-0.67,-0.6,"cluster6","RAB21"
"IGKC",-0.2,1.45,-0.44,-0.81,"cluster6","IGKC"
"PTMS",-0.25,1.47,-0.49,-0.73,"cluster6","PTMS"
"ALDH5A1",-0.58,1.32,-0.94,0.2,"cluster6","ALDH5A1"
"CD59",-0.56,1.44,-0.78,-0.1,"cluster6","CD59"
"PON1",-0.51,1.49,-0.6,-0.38,"cluster6","PON1"
"NUTF2",-1.46,0.8,0.41,0.24,"cluster6","NUTF2"
"RPS12",-1.36,0.57,0.9,-0.1,"cluster6","RPS12"
"PSMA3",-1.32,0.27,1.09,-0.05,"cluster6","PSMA3"
"GBP2",-0.96,-0.35,1.4,-0.1,"cluster6","GBP2"
"GNA14",-1.29,-0.21,1.04,0.47,"cluster6","GNA14"
"TAGLN2",-1.35,-0.14,0.89,0.6,"cluster6","TAGLN2"
"CA1",0.04,0.88,0.48,-1.41,"cluster6","CA1"
"DSTN",0.08,0.84,0.5,-1.42,"cluster6","DSTN"
"RPL35A",-0.02,0.78,0.65,-1.4,"cluster6","RPL35A"
"RPL13",0.1,0.76,0.58,-1.44,"cluster6","RPL13"
"FIS1",0.13,0.75,0.58,-1.45,"cluster6","FIS1"
"PF4",-0.28,0.18,1.25,-1.15,"cluster6","PF4"
"SUCLA2",-0.08,0.17,1.17,-1.26,"cluster6","SUCLA2"
"RPL6",-0.56,0.84,0.84,-1.12,"cluster6","RPL6"
"CANX",-0.16,0.42,1.05,-1.3,"cluster6","CANX"
"TUFM",-0.39,0.62,0.99,-1.22,"cluster6","TUFM"
"PLP2",-0.24,-0.21,-0.96,1.41,"cluster4","PLP2"
"APOH",-0.23,-0.35,-0.86,1.44,"cluster4","APOH"
"HIST1H1E",-0.37,-0.31,-0.79,1.46,"cluster4","HIST1H1E"
"CAPZB",-1.02,0.07,-0.39,1.34,"cluster4","CAPZB"
"VCP",-0.9,-0.01,-0.49,1.4,"cluster4","VCP"
"GCDH",-1.08,0.49,-0.54,1.14,"cluster4","GCDH"
"ARPC2",-1.12,0.2,-0.35,1.26,"cluster4","ARPC2"
"ABCB9",-1.03,0.26,-0.5,1.27,"cluster4","ABCB9"
"SERPINA1",-0.75,-0.02,-0.65,1.42,"cluster4","SERPINA1"
"GMDS",-0.71,-0.11,-0.62,1.45,"cluster4","GMDS"
"HNRNPA2B1",-0.73,-0.18,-0.55,1.46,"cluster4","HNRNPA2B1"
"IVD",-0.76,0.22,-0.79,1.33,"cluster4","IVD"
"AP2M1",-0.58,0.06,-0.86,1.38,"cluster4","AP2M1"
"GSR",-0.28,-0.94,-0.2,1.41,"cluster4","GSR"
"RPS7",-0.13,-0.84,-0.47,1.43,"cluster4","RPS7"
"SDHB",-0.3,-0.82,-0.34,1.46,"cluster4","SDHB"
"NDUFS1",-0.34,-0.76,-0.37,1.47,"cluster4","NDUFS1"
"ARHGDIB",-0.28,-0.74,-0.45,1.47,"cluster4","ARHGDIB"
"ACTG1",-0.3,-0.65,-0.53,1.48,"cluster4","ACTG1"
"SOD1",0.17,-1.31,0.01,1.12,"cluster4","SOD1"
"ORM2",-0.19,-1.28,0.39,1.08,"cluster4","ORM2"
"COX4I1",-1.27,0.09,0.01,1.17,"cluster4","COX4I1"
"SFN",-1.32,-0.03,0.25,1.1,"cluster4","SFN"
"PGM2",-1.24,-0.08,0.11,1.2,"cluster4","PGM2"
"GNAI1",-0.66,-0.65,-0.15,1.46,"cluster4","GNAI1"
"CNN2",-0.61,-0.6,-0.28,1.48,"cluster4","CNN2"
"CORO1B",-0.82,-0.59,0,1.41,"cluster4","CORO1B"
"HP",-0.83,-0.49,-0.11,1.43,"cluster4","HP"
"GNG12",-0.89,-0.41,-0.12,1.42,"cluster4","GNG12"
"LRG1",-0.99,-0.49,0.15,1.32,"cluster4","LRG1"
"ORM1",-0.94,-0.57,0.18,1.33,"cluster4","ORM1"
"SERPINA3",-0.95,-0.66,0.39,1.23,"cluster4","SERPINA3"
"CRP.1",-1,-0.66,0.52,1.14,"cluster4","CRP.1"
"C9",-1.05,-0.62,0.59,1.08,"cluster4","C9"
"APOC2",0.63,0.19,-1.47,0.65,"cluster3","APOC2"
"ATP5A1",-0.01,0.44,-1.38,0.95,"cluster3","ATP5A1"
"CTSB",0.34,0.35,-1.47,0.78,"cluster3","CTSB"
"PSMD3",0.21,0.18,-1.39,1,"cluster3","PSMD3"
"ITIH1",0.35,0.17,-1.42,0.9,"cluster3","ITIH1"
"DPP4",0.06,-0.08,-1.21,1.23,"cluster3","DPP4"
"SERPINH1",0.72,-0.33,-1.26,0.88,"cluster3","SERPINH1"
"SLC9A3R1",0.41,-0.36,-1.18,1.14,"cluster3","SLC9A3R1"
"CFI",0.46,-0.22,-1.29,1.04,"cluster3","CFI"
"MTHFD1",1,-0.33,-1.25,0.58,"cluster3","MTHFD1"
"COL6A3",1.14,-0.42,-1.15,0.43,"cluster3","COL6A3"
"SAMHD1",1.19,-0.58,-1.03,0.43,"cluster3","SAMHD1"
"KPNB1",0.79,-1.27,-0.33,0.82,"cluster3","KPNB1"
"RAB6B",0.84,-1.12,-0.57,0.85,"cluster3","RAB6B"
"ALDH1L1",0.78,-0.64,-1.07,0.92,"cluster3","ALDH1L1"
"FTL",0.78,-0.63,-1.07,0.92,"cluster3","FTL"
"NDUFA13",0.76,-0.92,-0.81,0.96,"cluster3","NDUFA13"
"ASL",0.95,-0.8,-0.92,0.78,"cluster3","ASL"
"C1RL",1.04,-0.97,-0.74,0.66,"cluster3","C1RL"
"COPB2",1.13,0.47,-1.13,-0.47,"cluster3","COPB2"
"KDELR2",1.3,0.27,-0.9,-0.66,"cluster3","KDELR2"
"APOC3",1.32,0.16,-0.99,-0.49,"cluster3","APOC3"
"C8A",1.27,0.25,-1.06,-0.46,"cluster3","C8A"
"PSMA5",0.73,0.81,-1.32,-0.22,"cluster3","PSMA5"
"ABHD14B",0.85,0.64,-1.36,-0.12,"cluster3","ABHD14B"
"APMAP",0.81,0.64,-1.39,-0.06,"cluster3","APMAP"
"XRCC5",1.26,0.08,-1.17,-0.17,"cluster3","XRCC5"
"RDH16",1.01,0.29,-1.37,0.07,"cluster3","RDH16"
"PAICS",1.06,0.4,-1.3,-0.16,"cluster3","PAICS"
"EPB41L2",1.09,0.37,-1.29,-0.17,"cluster3","EPB41L2"
"SERPINC1",1.11,0.34,-1.28,-0.17,"cluster3","SERPINC1"
"RPLP0",1.44,-0.1,-0.76,-0.58,"cluster3","RPLP0"
"UGP2",1.49,-0.35,-0.61,-0.53,"cluster3","UGP2"
"IMMT",1.45,-0.75,-0.57,-0.13,"cluster3","IMMT"
"AKR7L",1.42,-0.48,-0.87,-0.06,"cluster3","AKR7L"
"AMBP",0.75,-1.47,0.38,0.34,"cluster3","AMBP"
"ATP5G1",0.98,-1.39,0.07,0.33,"cluster3","ATP5G1"
"RPL13A",1.42,-0.93,-0.22,-0.26,"cluster3","RPL13A"
"TAGLN",1.47,-0.73,-0.28,-0.47,"cluster3","TAGLN"
"PGK1",1.16,-1.22,0.31,-0.25,"cluster3","PGK1"
"BPIFB1",1.28,-1.14,-0.23,0.08,"cluster3","BPIFB1"
