rep..0...ncol.dat1..,,,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..,coef.fit.cv..s....lambda.1se...exact...TRUE..1.ncol.dat1..
KLKB1,0.585330904,49,0.655770531,0.746696518,0.526330067,0.71308301,0.780087175,0.869561961,0.746696518,0.458754232,0.249452521,0.318785368,0.746696518,0.526330067,0.492695133,0.390571928,0.559789309,0.855850123,0.492695133,0.71308301,0.352460494,0.724367634,0.458754232,0.802234321,0.352460494,0.768813415,0.842206873,0.249452521,0.590681948,0.352460494,0.590681948,0.559789309,0.636235369,0.492695133,0.926100317,0.390571928,0.458754232,0.390571928,0.71308301,0.615857471,0.292338356,0.526330067,0.636235369,0.352460494,0.768813415,0.701679456,0.636235369,0.675068657,,0.492695133,0.897513831,0.590681948
APOD,-0.75549215,49,-0.764127665,-1.150749969,-0.478576552,-0.979684625,-1.335825859,-1.811939294,-1.150749969,-0.36426231,-0.158290958,-0.226986581,-1.150749969,-0.478576552,-0.41983476,-0.276944517,-0.540304096,-1.741126763,-0.41983476,-0.979684625,-0.248902237,-1.034962821,-0.36426231,-1.464475106,-0.248902237,-1.272470223,-1.670590794,-0.158290958,-0.602241634,-0.248902237,-0.602241634,-0.540304096,-0.710970793,-0.41983476,-2.099131015,-0.276944517,-0.36426231,-0.276944517,-0.979684625,-0.65959905,-0.20098273,-0.478576552,-0.710970793,-0.248902237,-1.272470223,-0.926332007,-0.710970793,-0.820599958,,-0.41983476,-1.955065944,-0.602241634
S100A8,-0.610802387,49,-0.628169954,-0.999936773,-0.357309815,-0.84597318,-1.157073937,-1.523836035,-0.999936773,-0.261562582,-0.055546628,-0.118897616,-0.999936773,-0.357309815,-0.308646488,-0.185425555,-0.408085367,-1.471775734,-0.308646488,-0.84597318,-0.149104144,-0.896881152,-0.261562582,-1.262784468,-0.149104144,-1.104311177,-1.41966762,-0.055546628,-0.45957023,-0.149104144,-0.45957023,-0.408085367,-0.568983141,-0.308646488,-1.732490068,-0.185425555,-0.261562582,-0.185425555,-0.84597318,-0.511223356,-0.090324069,-0.357309815,-0.568983141,-0.149104144,-1.104311177,-0.795677045,-0.568983141,-0.68899817,,-0.308646488,-1.628345049,-0.45957023
C2,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOA4,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VIM,0.627811591,38,0.496988723,0.895960853,0.200647112,0.727706164,1.070507779,1.489661903,0.895960853,0.077393745,,,0.895960853,0.200647112,0.139668538,,0.261022989,1.429406298,0.139668538,0.727706164,,0.783043217,0.077393745,1.189433887,,1.011578597,1.369254702,,0.319598531,,0.319598531,0.261022989,0.436117013,0.139668538,1.732723069,,0.077393745,,0.727706164,0.375901616,,0.200647112,0.436117013,,1.011578597,0.673276311,0.436117013,0.559538327,,0.139668538,1.610957063,0.319598531
XRCC5,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRKCSH,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBR1,-1.616040972,49,-1.6088191,-2.395769267,-1.112683614,-2.050084539,-2.751446354,-3.584265276,-2.395769267,-0.926589447,-0.38305856,-0.579593251,-2.395769267,-1.112683614,-1.019277063,-0.747055365,-1.206851485,-3.465021272,-1.019277063,-2.050084539,-0.661795436,-2.164016572,-0.926589447,-2.993123737,-0.661795436,-2.632118119,-3.346216192,-0.38305856,-1.301144814,-0.661795436,-1.301144814,-1.206851485,-1.502195813,-1.019277063,-4.062873753,-0.747055365,-0.926589447,-0.747055365,-2.050084539,-1.397242114,-0.481304495,-1.112683614,-1.502195813,-0.661795436,-2.632118119,-1.937658207,-1.502195813,-1.716407834,,-1.019277063,-3.823104571,-1.301144814
TYMP,0.774355682,49,0.748731565,0.887122376,0.704049807,0.818127499,0.961318925,1.146552366,0.887122376,0.692967743,0.455899251,0.584521995,0.887122376,0.704049807,0.698518384,0.661669055,0.709435351,1.119230005,0.698518384,0.818127499,0.629489449,0.840473285,0.692967743,1.013084577,0.629489449,0.936095997,1.092156514,0.455899251,0.716824551,0.629489449,0.716824551,0.709435351,0.737993471,0.698518384,1.257663901,0.661669055,0.692967743,0.661669055,0.818127499,0.727964492,0.522036435,0.704049807,0.737993471,0.629489449,0.936095997,0.796422062,0.737993471,0.760017141,,0.698518384,1.202099137,0.716824551
SDHB,0.4414561,38,0.351971093,0.632079619,0.15289639,0.513479759,0.749066428,1.010920182,0.632079619,0.076055431,,,0.632079619,0.15289639,0.114964133,,0.190197307,0.974017192,0.114964133,0.513479759,,0.55318347,0.076055431,0.826742094,,0.710457008,0.937294058,,0.227880736,,0.227880736,0.190197307,0.309655212,0.114964133,1.15701348,,0.076055431,,0.513479759,0.267340344,,0.15289639,0.309655212,,0.710457008,0.473599843,0.309655212,0.393110719,,0.114964133,1.083766286,0.227880736
GPX3,-0.194034522,23,,,-0.084275762,,,,,-0.18455025,-0.255507697,-0.303767506,,-0.084275762,-0.135192291,-0.261479752,-0.031949676,,-0.135192291,,-0.293422241,,-0.18455025,,-0.293422241,,,-0.255507697,,-0.293422241,,-0.031949676,,-0.135192291,,-0.261479752,-0.18455025,-0.261479752,,,-0.278736323,-0.084275762,,-0.293422241,,,,,,-0.135192291,,
LAP3,-0.208319519,45,-0.263212784,-0.340734562,-0.138916859,-0.322085615,-0.350727745,-0.341858619,-0.340734562,-0.091001219,,,-0.340734562,-0.138916859,-0.115309954,-0.034957799,-0.161984542,-0.345206572,-0.115309954,-0.322085615,-0.014061326,-0.32924293,-0.091001219,-0.35389801,-0.014061326,-0.348699011,-0.34860088,,-0.183820274,-0.014061326,-0.183820274,-0.161984542,-0.235282837,-0.115309954,-0.322097773,-0.034957799,-0.091001219,-0.034957799,-0.322085615,-0.206164072,,-0.138916859,-0.235282837,-0.014061326,-0.348699011,-0.314126799,-0.235282837,-0.288118534,,-0.115309954,-0.331873922,-0.183820274
MYH9,1.379335255,49,1.382253627,1.851207527,1.06884321,1.647886539,2.061172374,2.564510973,1.851207527,0.961240253,0.636680421,0.751439475,1.851207527,1.06884321,1.013614983,0.857735892,1.126161846,2.491737683,1.013614983,1.647886539,0.801720072,1.714828025,0.961240253,2.20384573,0.801720072,1.990425161,2.419108879,0.636680421,1.187254516,0.801720072,1.187254516,1.126161846,1.316534395,1.013614983,2.859915436,0.857735892,0.961240253,0.857735892,1.647886539,1.252067482,0.702855444,1.06884321,1.316534395,0.801720072,1.990425161,1.581887488,1.316534395,1.45013634,,1.013614983,2.711686465,1.187254516
ATP6V1A,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP5O,-0.846681395,49,-0.947637664,-1.278726941,-0.644590853,-1.132406063,-1.417519438,-1.744705715,-1.278726941,-0.487495606,-0.053128224,-0.192410604,-1.278726941,-0.644590853,-0.564925531,-0.329571616,-0.726478696,-1.697504762,-0.564925531,-1.132406063,-0.251752673,-1.182090934,-0.487495606,-1.505748441,-0.251752673,-1.371709678,-1.649585323,-0.053128224,-0.803706726,-0.251752673,-0.803706726,-0.726478696,-0.9079301,-0.564925531,-1.929515553,-0.329571616,-0.487495606,-0.329571616,-1.132406063,-0.866992571,-0.12433698,-0.644590853,-0.9079301,-0.251752673,-1.371709678,-1.081570964,-0.9079301,-0.986846905,,-0.564925531,-1.838292786,-0.803706726
SERPINH1,-0.431918549,49,-0.485629443,-0.595342797,-0.369246961,-0.544541905,-0.646965632,-0.773861922,-0.595342797,-0.301540116,-0.073390521,-0.14989241,-0.595342797,-0.369246961,-0.3349918,-0.226439681,-0.404154072,-0.755093986,-0.3349918,-0.544541905,-0.186362598,-0.561257663,-0.301540116,-0.681957655,-0.186362598,-0.630003357,-0.736564597,-0.073390521,-0.434020582,-0.186362598,-0.434020582,-0.404154072,-0.470222306,-0.3349918,-0.847568194,-0.226439681,-0.301540116,-0.226439681,-0.544541905,-0.454672229,-0.108543371,-0.369246961,-0.470222306,-0.186362598,-0.630003357,-0.528060418,-0.470222306,-0.499162445,,-0.3349918,-0.810202397,-0.434020582
SUCLG1,-0.046782252,36,-0.070798048,-0.035395521,-0.05444887,-0.051394513,-0.015514009,,-0.035395521,-0.031718918,,,-0.035395521,-0.05444887,-0.043238817,-0.008286876,-0.065432903,,-0.043238817,-0.051394513,,-0.046647061,-0.031718918,-0.000311392,,-0.022176468,,,-0.075649265,,-0.075649265,-0.065432903,-0.07691772,-0.043238817,,-0.008286876,-0.031718918,-0.008286876,-0.051394513,-0.081663257,,-0.05444887,-0.07691772,,-0.022176468,-0.05532801,-0.07691772,-0.064290236,,-0.043238817,,-0.075649265
PSMA6,-0.600298706,49,-0.602030826,-0.621111063,-0.583390215,-0.610597475,-0.641626408,-0.714135952,-0.621111063,-0.577034645,-0.482097617,-0.537625902,-0.621111063,-0.583390215,-0.580123582,-0.569767746,-0.586923929,-0.702048908,-0.580123582,-0.610597475,-0.558541531,-0.612950384,-0.577034645,-0.659888817,-0.558541531,-0.633615174,-0.690378439,-0.482097617,-0.591378356,-0.558541531,-0.591378356,-0.586923929,-0.598793318,-0.580123582,-0.768465525,-0.569767746,-0.577034645,-0.569767746,-0.610597475,-0.596444386,-0.515729683,-0.583390215,-0.598793318,-0.558541531,-0.633615174,-0.609437316,-0.598793318,-0.606913057,,-0.580123582,-0.740808628,-0.591378356
ACTG2,0.824739545,47,0.797355407,1.339756838,0.445639818,1.105564534,1.574209045,2.093968573,1.339756838,0.320703572,,0.078365273,1.339756838,0.445639818,0.383448085,0.191551453,0.507835783,2.021845088,0.383448085,1.105564534,0.134064918,1.183344801,0.320703572,1.7306607,0.134064918,1.496712098,1.949875212,,0.57123184,0.134064918,0.57123184,0.507835783,0.717861175,0.383448085,2.379227488,0.191551453,0.320703572,0.191551453,1.105564534,0.639639754,0.0179995,0.445639818,0.717861175,0.134064918,1.496712098,1.028316747,0.717861175,0.875260101,,0.383448085,2.236615449,0.57123184
LRP2,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYCS,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGALS3BP,1.754818463,49,1.736440375,2.362983594,1.35394827,2.082566206,2.654039699,3.362228408,2.362983594,1.219858445,0.754369396,0.912378489,2.362983594,1.35394827,1.285926325,1.07112844,1.424215192,3.258863547,1.285926325,2.082566206,0.990842152,2.174608149,1.219858445,2.852535954,0.990842152,2.556171174,3.156196456,0.754369396,1.497817932,0.990842152,1.497817932,1.424215192,1.655075402,1.285926325,3.779290391,1.07112844,1.219858445,1.07112844,2.082566206,1.575561705,0.836445015,1.35394827,1.655075402,0.990842152,2.556171174,1.992102656,1.655075402,1.818811211,,1.285926325,3.569882328,1.497817932
ECM1,-0.119661198,17,,-0.091884616,,-0.046435282,-0.128704202,-0.198411286,-0.091884616,,,,-0.091884616,,,,,-0.189210775,,-0.046435282,,-0.062708165,,-0.149507333,,-0.117195879,-0.179661302,,,,,,,,-0.232126536,,,,-0.046435282,,,,,,-0.117195879,-0.028808978,,,,,-0.215750347,
DIRAS2,-0.23939879,23,-0.070130807,-0.242132992,,-0.173014925,-0.312837138,-0.461419779,-0.242132992,,,,-0.242132992,,,,,-0.441377038,,-0.173014925,,-0.19586703,,-0.361621044,,-0.289410677,-0.421692652,,,,,,-0.038542601,,-0.542463597,,,,-0.173014925,-0.006636252,,,-0.038542601,,-0.289410677,-0.150465329,-0.038542601,-0.100371002,,,-0.501397607,
VAT1,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1H2BL,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NDUFA13,#DIV/0!,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLC25A13,-0.594140034,49,-0.608489839,-0.786917838,-0.487717161,-0.70883561,-0.866282379,-1.051226497,-0.786917838,-0.444237991,-0.196483033,-0.312825376,-0.786917838,-0.487717161,-0.465660938,-0.392657203,-0.510098754,-1.024671861,-0.465660938,-0.70883561,-0.360420638,-0.734638313,-0.444237991,-0.919890852,-0.360420638,-0.839912928,-0.998374431,-0.196483033,-0.53293101,-0.360420638,-0.53293101,-0.510098754,-0.582633401,-0.465660938,-1.157209485,-0.392657203,-0.444237991,-0.392657203,-0.70883561,-0.557121323,-0.255968231,-0.487717161,-0.582633401,-0.360420638,-0.839912928,-0.683302473,-0.582633401,-0.633707509,,-0.465660938,-1.104046728,-0.53293101
